fila_csv,fecha_mes,id_tienda,id_producto,unidades_vendidas,venta_neta,par,ocurrencia
234215,2025-08-01,T25,SKU00453,0,0.0,44,2
157482,2025-09-01,T12,SKU00552,0,0.0,45,1
236100,2025-09-01,T12,SKU00552,0,0.0,45,2
157517,2025-10-01,T04,SKU00552,0,0.0,46,1
236212,2025-10-01,T04,SKU00552,0,0.0,46,2
120601,2025-10-01,T07,SKU00430,0,0.0,47,1
235194,2025-10-01,T07,SKU00430,0,0.0,47,2
157457,2025-10-01,T16,SKU00552,0,0.0,48,1
236136,2025-10-01,T16,SKU00552,0,0.0,48,2
120559,2025-10-01,T21,SKU00430,0,0.0,49,1
235241,2025-10-01,T21,SKU00430,0,0.0,49,2
157561,2025-11-01,T15,SKU00552,0,0.0,50,1
236195,2025-11-01,T15,SKU00552,0,0.0,50,2
157467,2025-11-01,T18,SKU00552,0,0.0,51,1
236094,2025-11-01,T18,SKU00552,0,0.0,51,2
157449,2025-11-01,T22,SKU00552,0,0.0,52,1
236119,2025-11-01,T22,SKU00552,0,0.0,52,2
157484,2025-12-01,T12,SKU00552,0,0.0,53,1
236103,2025-12-01,T12,SKU00552,0,0.0,53,2
157450,2025-12-01,T22,SKU00552,0,0.0,54,1
236120,2025-12-01,T22,SKU00552,0,0.0,54,2
157528,2025-12-01,T23,SKU00552,0,0.0,55,1
236087,2025-12-01,T23,SKU00552,0,0.0,55,2
126878,2025-12-01,T24,SKU00453,0,0.0,56,1
234289,2025-12-01,T24,SKU00453,0,0.0,56,2
