id_devolucion,id_producto,id_tienda,fecha,unidades_devueltas,motivo
DEVP0064,SKU00025,T28,2024-09-10,6,Producto sin rotacion / no vendido
DEVP0065,SKU00025,T26,2023-12-24,2,Devolucion de cliente (cambio)
DEVP0066,SKU00025,T26,2025-10-02,3,Producto dañado en logistica
DEVP0067,SKU00025,T26,2025-12-17,6,Producto dañado en logistica
DEVP0068,SKU00026,T18,2024-10-21,9,Producto dañado en logistica
DEVP0069,SKU00027,T08,2024-01-19,5,Error de picking
DEVP0070,SKU00028,T18,2025-11-12,3,Defecto de fabricacion
DEVP0071,SKU00031,T24,2023-09-25,5,Producto dañado en logistica
DEVP0072,SKU00032,T07,2025-03-25,19,Producto dañado en logistica
DEVP0073,SKU00032,T01,2025-03-20,5,Error de picking
DEVP0074,SKU00032,T27,2023-04-19,17,Producto sin rotacion / no vendido
DEVP0075,SKU00032,T02,2024-05-04,11,Devolucion de cliente (cambio)
DEVP0076,SKU00032,T15,2025-02-27,26,Defecto de fabricacion
DEVP0077,SKU00032,T12,2024-09-14,12,Producto dañado en logistica
DEVP0078,SKU00033,T04,2022-06-02,5,Producto dañado en logistica
DEVP0079,SKU00033,T04,2022-11-24,1,Devolucion de cliente (cambio)
DEVP0080,SKU00033,T24,2023-07-19,3,Producto dañado en logistica
DEVP0081,SKU00033,T27,2023-07-23,1,Error de picking
DEVP0082,SKU00033,T21,2023-07-16,3,Error de picking
DEVP0083,SKU00033,T16,2024-10-26,2,Producto sin rotacion / no vendido
DEVP0084,SKU00034,T03,2025-10-12,1,Defecto de fabricacion
DEVP0085,SKU00034,T17,2023-09-12,2,Defecto de fabricacion
DEVP0086,SKU00034,T27,2025-03-08,3,Error de picking
DEVP0087,SKU00034,T07,2024-07-21,1,Devolucion de cliente (cambio)
DEVP0088,SKU00034,T19,2023-07-12,1,Error de picking
DEVP0089,SKU00035,T07,2025-07-09,2,Devolucion de cliente (cambio)
DEVP0090,SKU00035,T16,2025-09-08,2,Devolucion de cliente (cambio)
DEVP0091,SKU00037,T08,2025-06-14,3,Error de picking
DEVP0092,SKU00039,T23,2025-02-04,1,Error de picking
DEVP0093,SKU00039,T20,2025-10-10,1,Producto dañado en logistica
DEVP0094,SKU00039,T05,2022-09-17,3,Producto sin rotacion / no vendido
DEVP0095,SKU00039,T05,2024-12-25,4,Error de picking
DEVP0096,SKU00039,T19,2023-03-24,3,Defecto de fabricacion
DEVP0097,SKU00039,T19,2023-07-03,1,Producto sin rotacion / no vendido
DEVP0098,SKU00039,T19,2024-05-08,1,Devolucion de cliente (cambio)
DEVP0099,SKU00040,T08,2024-04-04,7,Defecto de fabricacion
DEVP0100,SKU00040,T28,2023-03-26,10,Devolucion de cliente (cambio)
DEVP0101,SKU00040,T27,2024-02-25,3,Producto dañado en logistica
DEVP0102,SKU00041,T18,2025-07-22,2,Error de picking
DEVP0103,SKU00042,T22,2024-06-20,3,Devolucion de cliente (cambio)
DEVP0104,SKU00042,T25,2025-08-04,1,Producto dañado en logistica
DEVP0105,SKU00042,T06,2023-11-16,2,Devolucion de cliente (cambio)
DEVP0106,SKU00042,T06,2025-09-04,1,Defecto de fabricacion
DEVP0107,SKU00042,T21,2025-02-19,1,Error de picking
DEVP0108,SKU00042,T09,2023-10-25,5,Devolucion de cliente (cambio)
DEVP0109,SKU00042,T08,2025-04-03,2,Producto sin rotacion / no vendido
DEVP0110,SKU00043,T10,2025-08-23,1,Defecto de fabricacion
DEVP0111,SKU00045,T13,2025-04-28,1,Producto dañado en logistica
DEVP0112,SKU00045,T23,2024-09-09,1,Defecto de fabricacion
DEVP0113,SKU00046,T08,2025-09-14,2,Producto dañado en logistica
DEVP0114,SKU00047,T20,2025-10-03,3,Producto sin rotacion / no vendido
DEVP0115,SKU00047,T25,2025-03-13,3,Defecto de fabricacion
DEVP0116,SKU00047,T26,2024-12-18,3,Producto dañado en logistica
DEVP0117,SKU00047,T13,2025-04-04,1,Error de picking
DEVP0118,SKU00048,T12,2023-10-02,6,Producto sin rotacion / no vendido
DEVP0119,SKU00048,T12,2024-04-10,5,Defecto de fabricacion
DEVP0120,SKU00049,T16,2025-02-08,7,Producto dañado en logistica
DEVP0121,SKU00049,T12,2023-08-21,8,Defecto de fabricacion
DEVP0122,SKU00049,T15,2023-07-20,7,Error de picking
DEVP0123,SKU00049,T15,2024-04-11,9,Error de picking
DEVP0124,SKU00051,T23,2022-06-04,1,Producto dañado en logistica
DEVP0125,SKU00051,T23,2024-06-26,2,Error de picking
DEVP0126,SKU00051,T20,2025-05-13,1,Devolucion de cliente (cambio)
DEVP0127,SKU00051,T15,2022-10-18,4,Defecto de fabricacion
DEVP0128,SKU00051,T01,2022-08-19,2,Error de picking
DEVP0129,SKU00051,T01,2022-12-18,4,Defecto de fabricacion
DEVP0130,SKU00052,T04,2023-12-27,1,Producto dañado en logistica
DEVP0131,SKU00052,T04,2024-11-12,1,Devolucion de cliente (cambio)
DEVP0132,SKU00052,T23,2023-12-19,1,Producto dañado en logistica
DEVP0133,SKU00053,T21,2025-02-16,4,Error de picking
DEVP0134,SKU00053,T17,2022-10-04,4,Producto dañado en logistica
DEVP0135,SKU00053,T16,2025-10-23,1,Error de picking
DEVP0136,SKU00053,T08,2022-12-28,2,Producto dañado en logistica
DEVP0137,SKU00054,T02,2025-03-13,3,Devolucion de cliente (cambio)
DEVP0138,SKU00054,T25,2023-03-10,1,Producto sin rotacion / no vendido
DEVP0139,SKU00054,T25,2024-01-02,2,Devolucion de cliente (cambio)
DEVP0140,SKU00054,T08,2022-10-16,2,Error de picking
DEVP0141,SKU00054,T01,2024-02-02,3,Defecto de fabricacion
DEVP0142,SKU00054,T01,2024-03-27,3,Defecto de fabricacion
DEVP0143,SKU00055,T09,2025-05-05,2,Devolucion de cliente (cambio)
DEVP0144,SKU00055,T17,2025-08-16,1,Devolucion de cliente (cambio)
DEVP0145,SKU00056,T17,2023-04-28,1,Producto sin rotacion / no vendido
DEVP0146,SKU00056,T21,2022-10-12,3,Defecto de fabricacion
DEVP0147,SKU00056,T21,2024-07-13,3,Defecto de fabricacion
DEVP0148,SKU00058,T21,2024-12-02,4,Error de picking
DEVP0149,SKU00058,T07,2025-05-23,1,Producto sin rotacion / no vendido
DEVP0150,SKU00059,T10,2022-10-12,2,Producto sin rotacion / no vendido
DEVP0151,SKU00059,T08,2023-04-20,2,Producto sin rotacion / no vendido
DEVP0152,SKU00059,T08,2024-05-14,1,Devolucion de cliente (cambio)
DEVP0153,SKU00059,T08,2024-06-19,2,Producto sin rotacion / no vendido
DEVP0154,SKU00059,T03,2022-11-17,2,Producto dañado en logistica
DEVP0155,SKU00059,T27,2024-07-13,2,Producto dañado en logistica
DEVP0156,SKU00059,T28,2025-03-03,3,Error de picking
DEVP0157,SKU00060,T23,2024-06-04,2,Defecto de fabricacion
DEVP0158,SKU00061,T21,2024-08-15,4,Error de picking
DEVP0159,SKU00061,T08,2025-01-11,5,Producto dañado en logistica
DEVP0160,SKU00061,T11,2023-10-03,5,Defecto de fabricacion
DEVP0161,SKU00062,T04,2025-04-08,5,Producto sin rotacion / no vendido
DEVP0162,SKU00062,T22,2025-06-06,1,Defecto de fabricacion
DEVP0163,SKU00062,T22,2025-09-27,2,Defecto de fabricacion
DEVP0164,SKU00062,T11,2024-05-23,2,Devolucion de cliente (cambio)
DEVP0165,SKU00062,T09,2023-05-21,3,Defecto de fabricacion
DEVP0166,SKU00062,T12,2023-03-04,2,Producto dañado en logistica
DEVP0167,SKU00062,T20,2024-09-27,3,Defecto de fabricacion
DEVP0168,SKU00062,T20,2025-10-26,2,Producto sin rotacion / no vendido
DEVP0169,SKU00062,T14,2024-12-14,3,Producto dañado en logistica
DEVP0170,SKU00062,T13,2023-10-13,2,Defecto de fabricacion
DEVP0171,SKU00063,T21,2025-12-02,7,Defecto de fabricacion
DEVP0172,SKU00063,T26,2024-07-06,3,Defecto de fabricacion
DEVP0173,SKU00063,T07,2025-03-05,4,Defecto de fabricacion
DEVP0174,SKU00063,T24,2024-01-11,5,Error de picking
DEVP0175,SKU00063,T24,2025-11-18,5,Devolucion de cliente (cambio)
DEVP0176,SKU00063,T02,2025-01-21,6,Producto dañado en logistica
DEVP0177,SKU00065,T25,2024-09-03,4,Devolucion de cliente (cambio)
DEVP0178,SKU00065,T14,2025-02-17,4,Devolucion de cliente (cambio)
DEVP0179,SKU00065,T27,2023-08-25,5,Producto sin rotacion / no vendido
DEVP0180,SKU00066,T18,2025-08-12,1,Defecto de fabricacion
DEVP0181,SKU00068,T12,2025-08-07,2,Defecto de fabricacion
DEVP0182,SKU00068,T24,2025-02-04,4,Producto sin rotacion / no vendido
DEVP0183,SKU00068,T09,2025-02-05,2,Defecto de fabricacion
DEVP0184,SKU00070,T03,2024-07-12,7,Defecto de fabricacion
DEVP0185,SKU00070,T18,2022-08-11,4,Producto sin rotacion / no vendido
DEVP0186,SKU00070,T18,2025-05-09,6,Defecto de fabricacion
DEVP0187,SKU00071,T09,2025-10-02,3,Defecto de fabricacion
DEVP0188,SKU00071,T02,2023-11-25,2,Producto sin rotacion / no vendido
DEVP0189,SKU00071,T02,2025-09-09,6,Defecto de fabricacion
DEVP0190,SKU00072,T20,2024-07-24,5,Error de picking
DEVP0191,SKU00072,T11,2023-03-06,4,Producto dañado en logistica
DEVP0192,SKU00072,T12,2024-07-06,3,Producto sin rotacion / no vendido
DEVP0193,SKU00073,T04,2025-10-08,10,Error de picking
DEVP0194,SKU00073,T22,2025-06-13,7,Defecto de fabricacion
DEVP0195,SKU00073,T12,2025-02-17,3,Producto dañado en logistica
DEVP0196,SKU00073,T03,2025-11-18,7,Defecto de fabricacion
DEVP0197,SKU00073,T18,2025-08-11,10,Devolucion de cliente (cambio)
DEVP0198,SKU00073,T25,2025-04-05,9,Devolucion de cliente (cambio)
DEVP0199,SKU00073,T16,2025-12-07,7,Producto sin rotacion / no vendido
DEVP0200,SKU00074,T21,2025-08-23,14,Producto dañado en logistica
DEVP0201,SKU00074,T11,2025-07-04,10,Producto sin rotacion / no vendido
DEVP0202,SKU00074,T26,2024-10-18,8,Devolucion de cliente (cambio)
DEVP0203,SKU00074,T09,2023-12-18,10,Producto dañado en logistica
DEVP0204,SKU00074,T25,2025-08-18,11,Defecto de fabricacion
DEVP0205,SKU00074,T24,2024-12-04,5,Defecto de fabricacion
DEVP0206,SKU00075,T07,2024-07-13,2,Devolucion de cliente (cambio)
DEVP0207,SKU00075,T23,2024-12-21,2,Defecto de fabricacion
DEVP0208,SKU00075,T18,2024-08-27,1,Error de picking
DEVP0209,SKU00075,T18,2025-06-15,2,Producto dañado en logistica
DEVP0210,SKU00076,T12,2024-07-09,8,Devolucion de cliente (cambio)
DEVP0211,SKU00076,T27,2024-06-06,7,Error de picking
DEVP0212,SKU00076,T01,2024-05-27,4,Producto sin rotacion / no vendido
DEVP0213,SKU00076,T13,2023-04-10,6,Producto sin rotacion / no vendido
DEVP0214,SKU00076,T15,2022-09-04,5,Error de picking
DEVP0215,SKU00076,T15,2024-10-10,10,Error de picking
DEVP0216,SKU00076,T06,2024-04-13,9,Devolucion de cliente (cambio)
DEVP0217,SKU00076,T06,2025-06-15,6,Producto sin rotacion / no vendido
DEVP0218,SKU00077,T13,2023-03-20,4,Error de picking
DEVP0219,SKU00077,T28,2023-01-14,3,Producto dañado en logistica
DEVP0220,SKU00077,T19,2023-11-06,4,Producto sin rotacion / no vendido
DEVP0221,SKU00077,T16,2023-12-11,6,Producto dañado en logistica
DEVP0222,SKU00078,T26,2024-05-18,3,Producto dañado en logistica
DEVP0223,SKU00079,T19,2024-05-09,1,Producto dañado en logistica
DEVP0224,SKU00079,T18,2024-09-25,1,Devolucion de cliente (cambio)
DEVP0225,SKU00079,T11,2024-10-21,1,Devolucion de cliente (cambio)
DEVP0226,SKU00080,T16,2024-06-12,3,Error de picking
DEVP0227,SKU00080,T04,2025-07-14,2,Error de picking
DEVP0228,SKU00080,T14,2023-10-21,3,Error de picking
DEVP0229,SKU00080,T03,2024-09-05,4,Producto dañado en logistica
DEVP0230,SKU00080,T10,2024-03-20,7,Producto dañado en logistica
DEVP0231,SKU00080,T10,2024-10-08,7,Producto dañado en logistica
DEVP0232,SKU00081,T28,2025-11-18,6,Producto dañado en logistica
DEVP0233,SKU00081,T07,2025-11-02,5,Producto dañado en logistica
DEVP0234,SKU00082,T18,2025-12-15,1,Defecto de fabricacion
DEVP0235,SKU00082,T20,2023-11-19,1,Producto sin rotacion / no vendido
DEVP0236,SKU00082,T15,2024-12-11,2,Producto dañado en logistica
DEVP0237,SKU00083,T22,2024-09-11,4,Producto dañado en logistica
DEVP0238,SKU00083,T20,2025-03-22,2,Producto sin rotacion / no vendido
DEVP0239,SKU00087,T21,2025-04-02,3,Producto sin rotacion / no vendido
DEVP0240,SKU00091,T06,2025-06-10,1,Producto sin rotacion / no vendido
DEVP0241,SKU00091,T15,2025-08-07,2,Devolucion de cliente (cambio)
DEVP0242,SKU00093,T25,2025-07-13,6,Producto sin rotacion / no vendido
DEVP0243,SKU00093,T27,2025-10-24,6,Devolucion de cliente (cambio)
DEVP0244,SKU00093,T27,2025-12-11,2,Producto sin rotacion / no vendido
DEVP0245,SKU00093,T16,2024-04-28,4,Error de picking
DEVP0246,SKU00093,T24,2024-02-28,3,Devolucion de cliente (cambio)
DEVP0247,SKU00093,T11,2025-02-12,5,Producto sin rotacion / no vendido
DEVP0248,SKU00093,T08,2025-12-26,6,Producto sin rotacion / no vendido
DEVP0249,SKU00095,T16,2025-10-12,1,Producto sin rotacion / no vendido
DEVP0250,SKU00096,T12,2024-06-08,1,Error de picking
DEVP0251,SKU00096,T06,2024-12-16,1,Devolucion de cliente (cambio)
DEVP0252,SKU00096,T05,2023-05-26,1,Defecto de fabricacion
DEVP0253,SKU00096,T02,2024-06-02,2,Error de picking
DEVP0254,SKU00096,T08,2023-02-06,1,Defecto de fabricacion
DEVP0255,SKU00096,T08,2024-06-11,1,Devolucion de cliente (cambio)
DEVP0256,SKU00097,T19,2025-07-23,3,Devolucion de cliente (cambio)
DEVP0257,SKU00097,T28,2025-04-04,4,Devolucion de cliente (cambio)
DEVP0258,SKU00098,T13,2024-06-18,1,Devolucion de cliente (cambio)
DEVP0259,SKU00098,T13,2025-07-06,2,Error de picking
DEVP0260,SKU00098,T19,2025-04-08,1,Devolucion de cliente (cambio)
DEVP0261,SKU00098,T23,2024-05-27,3,Producto sin rotacion / no vendido
DEVP0262,SKU00098,T25,2025-03-06,1,Devolucion de cliente (cambio)
DEVP0263,SKU00098,T11,2025-09-06,3,Producto sin rotacion / no vendido
DEVP0264,SKU00098,T24,2024-03-18,3,Producto sin rotacion / no vendido
DEVP0265,SKU00098,T16,2024-04-26,3,Producto sin rotacion / no vendido
DEVP0266,SKU00098,T21,2025-04-18,1,Producto dañado en logistica
DEVP0267,SKU00099,T23,2025-06-04,1,Defecto de fabricacion
DEVP0268,SKU00099,T07,2025-05-27,4,Producto sin rotacion / no vendido
DEVP0269,SKU00100,T26,2025-05-15,3,Producto dañado en logistica
DEVP0270,SKU00100,T04,2023-10-28,4,Error de picking
DEVP0271,SKU00100,T08,2025-12-11,3,Devolucion de cliente (cambio)
DEVP0272,SKU00100,T05,2024-02-25,2,Producto dañado en logistica
DEVP0273,SKU00101,T18,2025-03-23,7,Error de picking
DEVP0274,SKU00101,T23,2025-03-08,6,Producto dañado en logistica
DEVP0275,SKU00101,T11,2023-09-14,2,Producto sin rotacion / no vendido
DEVP0276,SKU00101,T11,2024-04-09,5,Producto dañado en logistica
DEVP0277,SKU00101,T24,2023-02-24,8,Defecto de fabricacion
DEVP0278,SKU00101,T24,2023-05-04,4,Defecto de fabricacion
DEVP0279,SKU00101,T24,2024-05-21,2,Producto dañado en logistica
DEVP0280,SKU00101,T20,2023-09-03,2,Error de picking
DEVP0281,SKU00101,T20,2025-11-11,1,Error de picking
DEVP0282,SKU00103,T11,2023-11-06,1,Producto dañado en logistica
DEVP0283,SKU00104,T12,2024-03-12,4,Error de picking
DEVP0284,SKU00104,T11,2024-11-10,1,Producto dañado en logistica
DEVP0285,SKU00105,T12,2025-04-28,4,Defecto de fabricacion
DEVP0286,SKU00106,T12,2024-12-15,1,Devolucion de cliente (cambio)
DEVP0287,SKU00107,T06,2024-11-05,4,Defecto de fabricacion
DEVP0288,SKU00107,T04,2025-08-28,1,Devolucion de cliente (cambio)
DEVP0289,SKU00107,T18,2025-07-03,2,Error de picking
DEVP0290,SKU00109,T11,2023-01-17,1,Error de picking
DEVP0291,SKU00109,T15,2024-06-18,2,Producto dañado en logistica
DEVP0292,SKU00110,T22,2025-05-02,15,Producto dañado en logistica
DEVP0293,SKU00110,T03,2025-01-03,12,Producto sin rotacion / no vendido
DEVP0294,SKU00112,T17,2022-11-15,3,Producto sin rotacion / no vendido
DEVP0295,SKU00112,T26,2023-11-10,4,Devolucion de cliente (cambio)
DEVP0296,SKU00112,T09,2022-09-13,4,Producto sin rotacion / no vendido
DEVP0297,SKU00112,T09,2023-06-19,2,Producto sin rotacion / no vendido
DEVP0298,SKU00113,T04,2024-09-06,5,Devolucion de cliente (cambio)
DEVP0299,SKU00113,T04,2025-07-12,4,Error de picking
DEVP0300,SKU00113,T16,2024-08-20,9,Producto dañado en logistica
DEVP0301,SKU00113,T17,2025-06-05,6,Producto sin rotacion / no vendido
DEVP0302,SKU00113,T27,2025-05-08,5,Producto sin rotacion / no vendido
DEVP0303,SKU00114,T04,2024-04-27,2,Producto sin rotacion / no vendido
DEVP0304,SKU00114,T05,2024-02-24,1,Error de picking
DEVP0305,SKU00114,T08,2025-12-14,1,Defecto de fabricacion
DEVP0306,SKU00114,T14,2025-06-08,2,Producto sin rotacion / no vendido
DEVP0307,SKU00114,T26,2025-09-10,1,Defecto de fabricacion
DEVP0308,SKU00115,T26,2024-03-19,1,Producto dañado en logistica
DEVP0309,SKU00115,T26,2025-04-20,2,Devolucion de cliente (cambio)
DEVP0310,SKU00115,T25,2024-11-06,2,Defecto de fabricacion
DEVP0311,SKU00115,T19,2024-08-17,1,Error de picking
DEVP0312,SKU00115,T04,2025-10-17,3,Producto dañado en logistica
DEVP0313,SKU00115,T02,2024-10-06,3,Defecto de fabricacion
DEVP0314,SKU00115,T10,2024-04-18,1,Devolucion de cliente (cambio)
DEVP0315,SKU00115,T10,2025-02-11,1,Error de picking
DEVP0316,SKU00115,T12,2024-05-26,3,Defecto de fabricacion
DEVP0317,SKU00116,T26,2025-11-02,3,Error de picking
DEVP0318,SKU00117,T05,2024-08-17,3,Error de picking
DEVP0319,SKU00117,T19,2025-02-24,5,Devolucion de cliente (cambio)
DEVP0320,SKU00117,T28,2025-04-08,3,Producto dañado en logistica
DEVP0321,SKU00117,T01,2024-06-03,6,Producto sin rotacion / no vendido
DEVP0322,SKU00118,T25,2024-12-14,1,Error de picking
DEVP0323,SKU00118,T21,2025-06-06,1,Producto sin rotacion / no vendido
DEVP0324,SKU00118,T22,2024-08-26,1,Error de picking
DEVP0325,SKU00118,T22,2025-03-28,3,Error de picking
DEVP0326,SKU00118,T23,2025-11-28,1,Error de picking
DEVP0327,SKU00119,T09,2024-12-17,5,Producto sin rotacion / no vendido
DEVP0328,SKU00119,T09,2025-03-24,6,Error de picking
DEVP0329,SKU00119,T22,2025-02-26,6,Devolucion de cliente (cambio)
DEVP0330,SKU00120,T06,2024-12-19,2,Producto dañado en logistica
DEVP0331,SKU00120,T26,2022-10-10,3,Producto sin rotacion / no vendido
DEVP0332,SKU00121,T23,2022-08-11,4,Producto sin rotacion / no vendido
DEVP0333,SKU00121,T02,2024-01-25,3,Devolucion de cliente (cambio)
DEVP0334,SKU00121,T02,2025-07-14,9,Error de picking
DEVP0335,SKU00121,T03,2023-05-03,2,Error de picking
DEVP0336,SKU00121,T09,2024-05-13,3,Error de picking
DEVP0337,SKU00122,T09,2024-09-25,2,Producto sin rotacion / no vendido
DEVP0338,SKU00123,T18,2025-08-03,5,Devolucion de cliente (cambio)
DEVP0339,SKU00123,T03,2025-08-26,11,Devolucion de cliente (cambio)
DEVP0340,SKU00124,T23,2025-10-26,3,Error de picking
DEVP0341,SKU00124,T15,2025-05-20,2,Producto dañado en logistica
DEVP0342,SKU00125,T21,2023-04-12,1,Defecto de fabricacion
DEVP0343,SKU00125,T21,2024-02-19,1,Producto dañado en logistica
DEVP0344,SKU00125,T10,2023-02-27,3,Defecto de fabricacion
DEVP0345,SKU00125,T23,2023-04-21,2,Defecto de fabricacion
DEVP0346,SKU00126,T11,2024-02-14,6,Devolucion de cliente (cambio)
DEVP0347,SKU00126,T04,2023-10-26,2,Error de picking
DEVP0348,SKU00126,T22,2025-05-03,3,Producto sin rotacion / no vendido
DEVP0349,SKU00127,T07,2023-10-21,6,Error de picking
DEVP0350,SKU00127,T13,2025-03-09,5,Devolucion de cliente (cambio)
DEVP0351,SKU00127,T06,2025-03-17,6,Devolucion de cliente (cambio)
DEVP0352,SKU00127,T06,2025-08-19,5,Producto dañado en logistica
DEVP0353,SKU00129,T13,2024-03-09,8,Devolucion de cliente (cambio)
DEVP0354,SKU00131,T05,2025-11-27,7,Producto dañado en logistica
DEVP0355,SKU00131,T12,2024-09-22,5,Producto dañado en logistica
DEVP0356,SKU00132,T05,2024-10-12,1,Producto dañado en logistica
DEVP0357,SKU00132,T22,2024-12-05,4,Producto dañado en logistica
DEVP0358,SKU00132,T11,2025-02-11,3,Producto sin rotacion / no vendido
DEVP0359,SKU00133,T09,2025-05-22,4,Producto dañado en logistica
DEVP0360,SKU00134,T07,2025-04-02,2,Producto sin rotacion / no vendido
DEVP0361,SKU00134,T15,2025-06-07,1,Defecto de fabricacion
DEVP0362,SKU00134,T22,2025-10-26,2,Devolucion de cliente (cambio)
DEVP0363,SKU00135,T07,2023-12-09,3,Defecto de fabricacion
DEVP0364,SKU00135,T23,2024-05-18,6,Producto dañado en logistica
DEVP0365,SKU00135,T20,2025-11-10,2,Producto dañado en logistica
DEVP0366,SKU00135,T06,2024-05-02,4,Defecto de fabricacion
DEVP0367,SKU00136,T16,2025-06-02,20,Error de picking
DEVP0368,SKU00136,T15,2025-10-02,17,Error de picking
DEVP0369,SKU00136,T06,2025-01-25,9,Error de picking
DEVP0370,SKU00136,T06,2025-07-18,7,Producto dañado en logistica
DEVP0371,SKU00138,T03,2023-11-02,3,Error de picking
DEVP0372,SKU00138,T04,2024-03-21,2,Error de picking
DEVP0373,SKU00138,T16,2024-09-09,3,Defecto de fabricacion
DEVP0374,SKU00139,T07,2025-04-28,2,Error de picking
DEVP0375,SKU00139,T28,2025-06-14,4,Devolucion de cliente (cambio)
DEVP0376,SKU00139,T15,2025-10-04,6,Defecto de fabricacion
DEVP0377,SKU00139,T13,2025-05-26,4,Error de picking
DEVP0378,SKU00140,T23,2025-11-03,2,Devolucion de cliente (cambio)
DEVP0379,SKU00140,T28,2025-10-06,1,Producto sin rotacion / no vendido
DEVP0380,SKU00141,T15,2025-04-11,4,Defecto de fabricacion
DEVP0381,SKU00141,T07,2024-12-20,4,Producto sin rotacion / no vendido
