id_producto,categoria,subcategoria,proveedor,costo_unitario,precio_lista,fecha_alta_catalogo,fecha_baja_catalogo,estado
SKU00049,Cocina y mesa,Manteleria,Proveedor D,16970.0,30100.0,2023-03-01,,Activo
SKU00050,Organizacion,Contenedores,Proveedor F,33910.0,60000.0,2025-05-15,2025-11-05,Discontinuado
SKU00051,Muebles,Sillas,Proveedor B,14810.0,30000.0,2022-05-31,,Activo
SKU00052,Cocina y mesa,Cristaleria,Proveedor B,39000.0,76400.0,2022-11-11,,Activo
SKU00053,Cocina y mesa,Cristaleria,Proveedor G,19010.0,40600.0,2022-05-09,,Activo
SKU00054,Baño,Alfombras de baño,Proveedor F,13310.0,28500.0,2022-03-18,,Activo
SKU00055,Iluminacion,Guirnaldas,Proveedor H,19060.0,32200.0,2024-10-13,,Activo
SKU00056,Iluminacion,Apliques,Proveedor J,50430.0,87700.0,2022-08-15,2024-07-05,Discontinuado
SKU00057,Decoracion,Espejos,Proveedor J,14940.0,25700.0,2023-07-25,2024-01-10,Discontinuado
SKU00058,Baño,Accesorios de baño,Proveedor E,35190.0,57200.0,2024-07-22,,Activo
SKU00059,Textil hogar,Sabanas,Proveedor B,30980.0,49000.0,2022-06-17,,Activo
SKU00060,Decoracion,Espejos,Proveedor D,19580.0,38600.0,2024-04-01,2024-06-14,Discontinuado
SKU00061,Cocina y mesa,Vajilla,Proveedor H,30270.0,47700.0,2023-06-21,,Activo
SKU00062,Textil hogar,Toallas,Proveedor F,36060.0,65700.0,2022-09-29,,Activo
SKU00063,Muebles,Mesas auxiliares,Proveedor G,26550.0,45800.0,2022-12-11,,Activo
SKU00064,DECO,Velas,Proveedor G,23190.0,41400.0,2025-05-23,2025-11-17,Discontinuado
SKU00065,Muebles,Racks,Proveedor I,55690.0,87500.0,2023-01-24,,Activo
SKU00066,Muebles,Estanterias,Proveedor H,36130.0,76000.0,2025-02-03,,Activo
SKU00067,Textil hogar,Sabanas,Proveedor G,26690.0,51000.0,2022-09-26,,Activo
SKU00068,Muebles,Estanterias,Proveedor E,42150.0,82200.0,2023-05-19,,Activo
SKU00069,Iluminacion,Apliques,Proveedor I,41750.0,83900.0,2024-12-26,2025-08-20,Discontinuado
SKU00070,Decoracion,Espejos,Proveedor A,25040.0,39000.0,2022-05-09,2025-12-16,Discontinuado
SKU00071,Organizacion,Cajas,Proveedor C,34620.0,54400.0,2022-09-30,,Activo
SKU00072,Decoracion,Velas,Proveedor I,24480.0,49400.0,2022-11-26,,Activo
SKU00073,Baño,Alfombras de baño,Proveedor H,35860.0,64700.0,2024-09-12,,Activo
SKU00074,Baño,Alfombras de baño,Proveedor B,22190.0,46500.0,2023-02-24,,Activo
SKU00075,Organizacion,Contenedores,Proveedor E,9410.0,14800.0,2023-01-14,,Activo
SKU00076,Decoracion,Velas,Proveedor I,55380.0,86100.0,2022-04-04,,Activo
SKU00077,Decoracion,Velas,Proveedor C,15380.0,33500.0,2022-04-25,,Activo
SKU00078,Baño,Alfombras de baño,Proveedor H,30280.0,50700.0,2024-01-14,2024-07-06,Discontinuado
SKU00079,Baño,Alfombras de baño,Proveedor G,27170.0,59000.0,2024-02-07,2024-10-21,Discontinuado
SKU00080,Baño,Cortinas de baño,Proveedor I,13300.0,22500.0,2023-08-02,,Activo
SKU00081,Decoracion,Plantas artificiales,Proveedor B,4210.0,6800.0,2025-05-08,,Activo
SKU00082,Muebles,Racks,Proveedor E,44460.0,89000.0,2023-09-10,,Activo
SKU00083,Baño,Cortinas de baño,Proveedor G,4390.0,6800.0,2024-01-04,,Activo
SKU00084,Muebles,Racks,Proveedor I,37590.0,69500.0,2025-01-10,,Activo
SKU00085,Decoracion,Espejos,Proveedor A,27920.0,44100.0,2022-08-22,2023-02-27,Discontinuado
SKU00086,Textil hogar,Cortinas,Proveedor F,15340.0,33300.0,2025-03-05,,Activo
SKU00087,Baño,Alfombras de baño,Proveedor B,28700.0,56000.0,2024-11-09,,Activo
SKU00088,Decoracion,Velas,Proveedor G,39650.0,62000.0,2022-11-15,2023-06-19,Discontinuado
SKU00089,Iluminacion,Guirnaldas,Proveedor C,16830.0,33700.0,2024-08-01,,Activo
SKU00090,Muebles,Mesas auxiliares,Proveedor I,4130.0,6700.0,2025-04-14,2025-06-04,Discontinuado
SKU00091,Textil hogar,Cortinas,Proveedor F,5700.0,8900.0,2025-04-27,,Activo
SKU00092,Cocina y mesa,Cristaleria,Proveedor B,40530.0,64100.0,2025-01-30,2025-08-20,Discontinuado
SKU00093,Cocina y mesa,Vajilla,Proveedor G,35980.0,73700.0,2023-06-22,,Activo
SKU00094,Organizacion,Contenedores,Proveedor C,11240.0,17500.0,2022-05-13,2022-07-03,Discontinuado
SKU00095,Iluminacion,Lamparas de mesa,Proveedor D,16780.0,27600.0,2025-05-13,,Activo
SKU00096,Iluminacion,Apliques,Proveedor B,8670.0,17000.0,2022-11-01,,Activo
SKU00097,Decoracion,Espejos,Proveedor D,30630.0,61300.0,2024-06-18,,Activo
SKU00098,Baño,Accesorios de baño,Proveedor A,42680.0,68200.0,2022-11-24,,Activo
SKU00099,Decoracion,Plantas artificiales,Proveedor C,15390.0,30200.0,2024-11-17,2025-07-18,Discontinuado
SKU00100,Textil hogar,Cortinas,Proveedor B,2350.0,4400.0,2023-01-10,,Activo
SKU00101,Textil hogar,Acolchados,Proveedor F,4410.0,7800.0,2022-08-12,,Activo
SKU00102,Organizacion,Percheros,Proveedor G,35230.0,62500.0,2024-07-08,2024-08-14,Discontinuado
SKU00103,Decoracion,Cuadros,Proveedor C,31400.0,55100.0,2022-10-19,,Activo
SKU00104,Organizacion,Percheros,Proveedor G,45280.0,81400.0,2023-12-15,,Activo
SKU00105,Decoracion,Cuadros,Proveedor A,40490.0,77800.0,2024-12-23,,Activo
SKU00106,Textil hogar,Acolchados,Proveedor D,7120.0,14400.0,2024-02-23,,Activo
SKU00107,Muebles,Estanterias,Proveedor E,35610.0,71800.0,2022-12-24,,Activo
SKU00108,Iluminacion,Lamparas de mesa,Proveedor G,44140.0,70000.0,2025-03-16,2025-05-14,Discontinuado
SKU00109,Organizacion,Percheros,Proveedor C,23880.0,49900.0,2022-01-22,,Activo
SKU00110,Decoracion,Cuadros,Proveedor E,29920.0,56900.0,2022-12-10,,Activo
SKU00111,Textil hogar,Cortinas,Proveedor J,40520.0,81900.0,2023-07-23,2023-09-14,Discontinuado
SKU00112,Muebles,Estanterias,Proveedor F,12350.0,22600.0,2022-08-13,2023-11-11,Discontinuado
SKU00113,Cocina y mesa,Vajilla,Proveedor G,22130.0,45400.0,2024-01-01,,Activo
SKU00114,Baño,Accesorios de baño,Proveedor B,20370.0,34900.0,2022-06-17,,Activo
SKU00115,Muebles,Sillas,Proveedor B,20050.0,43400.0,2023-04-08,,Activo
SKU00116,Decoracion,Espejos,Proveedor I,20530.0,38500.0,2025-02-10,2025-12-24,Discontinuado
SKU00117,Textil hogar,Cortinas,Proveedor F,18830.0,41400.0,2024-04-18,,Activo
SKU00118,Baño,Alfombras de baño,Proveedor J,16710.0,26100.0,2024-05-31,,Activo
SKU00119,Textil hogar,Acolchados,Proveedor B,50860.0,79700.0,2024-01-16,,Activo
SKU00120,Decoracion,Cuadros,Proveedor C,36930.0,68800.0,2022-06-29,,Activo
SKU00121,Muebles,Racks,Proveedor I,43110.0,84500.0,2022-02-14,,Activo
SKU00122,Textil hogar,Acolchados,Proveedor I,30760.0,54200.0,2022-01-23,,Activo
SKU00123,Cocina y mesa,Cubiertos,Proveedor H,20400.0,40800.0,2025-03-07,,Activo
SKU00124,Cocina y mesa,Cubiertos,Proveedor A,17990.0,31100.0,2024-06-13,2025-12-09,Discontinuado
SKU00125,Textil hogar,Toallas,Proveedor G,14020.0,27000.0,2022-01-28,2024-07-27,Discontinuado
SKU00126,Organizacion,Contenedores,Proveedor F,17100.0,33200.0,2023-09-08,2025-05-17,Discontinuado
SKU00127,Organizacion,Percheros,Proveedor E,41880.0,74900.0,2023-02-11,,Activo
SKU00128,Cocina y mesa,Vajilla,Proveedor H,2150.0,3600.0,2025-06-29,2025-07-12,Discontinuado
SKU00129,Decoracion,Cuadros,Proveedor H,27990.0,46200.0,2023-11-28,2025-06-13,Discontinuado
SKU00130,Organizacion,Cajas,Proveedor B,,45500.0,2025-02-22,,Activo
SKU00131,Organizacion,Contenedores,Proveedor E,36790.0,75900.0,2024-07-29,,Activo
SKU00132,Decoracion,Espejos,Proveedor I,14490.0,26500.0,2024-06-16,,Activo
SKU00133,Textil hogar,Cortinas,Proveedor D,36760.0,77700.0,2024-10-09,,Activo
SKU00134,Baño,Cortinas de baño,Proveedor I,17700.0,31800.0,2025-03-13,,Activo
SKU00135,Cocina y mesa,Cristaleria,Proveedor E,29060.0,61700.0,2023-03-25,,Activo
SKU00136,Cocina y mesa,Cristaleria,Proveedor I,38450.0,68500.0,2024-05-24,,Activo
SKU00137,Muebles,Sillas,Proveedor A,,47500.0,2025-02-23,2025-11-20,Discontinuado
SKU00138,Textil hogar,Toallas,Proveedor B,18650.0,29700.0,2023-06-17,,Activo
SKU00139,Muebles,Mesas auxiliares,Proveedor I,43410.0,89500.0,2024-10-05,,Activo
SKU00140,Muebles,Racks,Proveedor H,12020.0,20600.0,2025-01-06,,Activo
SKU00141,Baño,Accesorios de baño,Proveedor B,42590.0,69300.0,2024-01-01,,Activo
SKU00142,Baño,Alfombras de baño,Proveedor D,14070.0,28600.0,2024-03-08,,Activo
SKU00143,Iluminacion,Apliques,Proveedor C,4410.0,8400.0,2023-05-03,,Activo
SKU00144,Decoracion,Espejos,Proveedor C,32160.0,51500.0,2024-01-14,,Activo
SKU00145,Organizacion,Cajas,Proveedor H,2290.0,4900.0,2024-02-16,,Activo
SKU00146,Textil hogar,Sabanas,Proveedor J,34760.0,59500.0,2022-04-13,,Activo
SKU00147,Decoracion,Espejos,Proveedor A,6050.0,12900.0,2024-03-26,2025-12-26,Discontinuado
SKU00148,Decoracion,Cuadros,Proveedor H,2610.0,4500.0,2025-01-27,,Activo
SKU00149,Cocina y mesa,Cristaleria,Proveedor D,13250.0,26600.0,2024-07-18,,Activo
SKU00150,Decoracion,Espejos,Proveedor F,28690.0,60500.0,2023-05-11,,Activo
SKU00151,Decoracion,Espejos,Proveedor E,23030.0,49200.0,2024-07-26,,Activo
SKU00152,Cocina y mesa,Cristaleria,Proveedor B,4550.0,7800.0,2024-01-12,,Activo
SKU00153,Organizacion,Percheros,Proveedor G,38900.0,71700.0,2023-07-17,,Activo
SKU00154,Iluminacion,Guirnaldas,Proveedor J,22080.0,37400.0,2024-12-05,,Activo
SKU00155,Organizacion,Cajas,Proveedor J,4400.0,8700.0,2022-04-17,,Activo
SKU00156,Cocina y mesa,Manteleria,Proveedor E,52270.0,81700.0,2024-08-15,,Activo
SKU00157,Cocina y mesa,Vajilla,Proveedor I,2430.0,5400.0,2022-02-08,2024-06-12,Discontinuado
SKU00158,TEXTIL_HOGAR,Acolchados,Proveedor E,37610.0,69600.0,2023-09-06,,Activo
SKU00159,Textil hogar,Sabanas,Proveedor B,39980.0,69100.0,2022-10-21,,Activo
SKU00160,TEXTIL_HOGAR,Toallas,Proveedor G,24510.0,41400.0,2024-06-10,,Activo
SKU00161,Cocina y mesa,Cubiertos,Proveedor H,25010.0,55200.0,2023-09-27,,Activo
SKU00162,Organizacion,Percheros,Proveedor C,26940.0,43000.0,2024-02-24,,Activo
SKU00163,Baño,Alfombras de baño,Proveedor B,41080.0,70700.0,2025-03-20,,Activo
SKU00164,Organizacion,Contenedores,Proveedor F,34780.0,56700.0,2022-11-23,,Activo
SKU00165,Iluminacion,Lamparas de mesa,Proveedor H,14600.0,27600.0,2022-01-15,,Activo
SKU00166,Decoracion,Espejos,Proveedor B,35320.0,57500.0,2023-01-20,,Activo
SKU00167,Organizacion,Cajas,Proveedor D,14660.0,30300.0,2024-05-15,,Activo
SKU00168,Muebles,Racks,Proveedor C,13980.0,26000.0,2022-09-16,,Activo
SKU00169,Organizacion,Contenedores,Proveedor E,6160.0,10700.0,2022-08-05,,Activo
SKU00170,Muebles,Racks,Proveedor E,41940.0,80900.0,2025-03-01,,Activo
SKU00171,Textil hogar,Toallas,Proveedor H,46020.0,86200.0,2024-04-22,2025-01-20,Discontinuado
SKU00172,Iluminacion,Apliques,Proveedor B,31690.0,49100.0,2025-02-11,2025-05-27,Discontinuado
SKU00173,Decoracion,Plantas artificiales,Proveedor D,35550.0,64500.0,2024-04-29,,Activo
SKU00174,Muebles,Racks,Proveedor C,37250.0,68400.0,2022-09-11,,Activo
SKU00175,Muebles,Racks,Proveedor E,32390.0,65500.0,2023-07-04,,Activo
SKU00176,Organizacion,Percheros,Proveedor I,5010.0,8800.0,2024-10-25,,Activo
SKU00177,Textil hogar,Toallas,Proveedor D,26080.0,48100.0,2025-03-12,,Activo
SKU00178,Organizacion,Contenedores,Proveedor I,7830.0,12300.0,2025-01-28,,Activo
SKU00179,Textil hogar,Toallas,Proveedor H,7590.0,11800.0,2023-05-06,,Activo
SKU00180,Baño,Accesorios de baño,Proveedor G,15190.0,30000.0,2024-01-15,,Activo
SKU00181,Textil hogar,Toallas,Proveedor C,54390.0,84700.0,2023-02-08,,Activo
SKU00182,Muebles,Mesas auxiliares,Proveedor J,40830.0,63700.0,2022-06-23,,Activo
SKU00183,Baño,Accesorios de baño,Proveedor J,10810.0,17400.0,2023-09-26,,Activo
SKU00184,Textil hogar,Toallas,Proveedor B,28710.0,56400.0,2024-12-04,,Activo
SKU00185,Decoracion,Cuadros,Proveedor H,25720.0,54500.0,2024-12-18,2025-09-12,Discontinuado
SKU00186,Decoracion,Espejos,Proveedor G,41470.0,71700.0,2025-04-27,2025-07-04,Discontinuado
SKU00187,Baño,Accesorios de baño,Proveedor I,5630.0,11400.0,2022-08-04,,Activo
SKU00188,Baño,Cortinas de baño,Proveedor F,15090.0,27700.0,2023-07-30,,Activo
SKU00189,Textil hogar,Cortinas,Proveedor B,11360.0,22300.0,2022-12-18,,Activo
SKU00190,Decoracion,Cuadros,Proveedor H,24210.0,50500.0,2022-10-01,,Activo
SKU00191,Iluminacion,Lamparas de mesa,Proveedor H,36890.0,68300.0,2023-06-13,2025-01-16,Discontinuado
SKU00192,Decoracion,Velas,Proveedor B,21350.0,37800.0,2023-09-23,,Activo
SKU00193,Textil hogar,Toallas,Proveedor C,9990.0,15900.0,2023-02-07,,Activo
SKU00194,Organizacion,Contenedores,Proveedor E,6770.0,12100.0,2024-12-06,,Activo
SKU00195,Iluminacion,Guirnaldas,Proveedor B,41520.0,86900.0,2025-06-07,,Activo
SKU00196,Decoracion,Espejos,Proveedor E,40960.0,63500.0,2023-08-01,,Activo
SKU00197,Decoracion,Espejos,Proveedor G,46550.0,89600.0,2022-04-06,2022-05-18,Discontinuado
SKU00198,Textil hogar,Toallas,Proveedor G,36460.0,57100.0,2025-01-18,2025-02-01,Discontinuado
SKU00199,Textil hogar,Sabanas,Proveedor B,35600.0,57000.0,2024-06-23,,Activo
SKU00200,Iluminacion,Apliques,Proveedor G,29000.0,63400.0,2023-12-30,,Activo
SKU00201,Textil hogar,Toallas,Proveedor G,20370.0,32400.0,2023-01-30,,Activo
SKU00202,Muebles,Sillas,Proveedor G,23240.0,43300.0,2024-10-06,,Activo
SKU00203,Cocina y mesa,Cristaleria,Proveedor J,13880.0,28800.0,2022-01-25,,Activo
SKU00204,Cocina y mesa,Cristaleria,Proveedor F,32220.0,60900.0,2022-06-23,,Activo
SKU00205,Baño,Alfombras de baño,Proveedor G,36510.0,79600.0,2023-08-04,2023-08-25,Discontinuado
SKU00206,Cocina y mesa,Vajilla,Proveedor J,36960.0,78900.0,2024-11-24,,Activo
SKU00207,Cocina y mesa,Cubiertos,Proveedor I,40350.0,74500.0,2022-10-30,,Activo
SKU00208,Decoracion,Velas,Proveedor D,36250.0,67100.0,2022-06-29,,Activo
SKU00209,Baño,Alfombras de baño,Proveedor D,10230.0,16000.0,2022-03-01,,Activo
SKU00210,Textil hogar,Toallas,Proveedor C,28840.0,58500.0,2024-03-13,,Activo
SKU00211,Decoracion,Espejos,Proveedor F,26810.0,54500.0,2023-07-24,,Activo
SKU00212,Muebles,Racks,Proveedor C,21280.0,37400.0,2024-03-14,,Activo
SKU00213,Decoracion,Cuadros,Proveedor E,26270.0,55700.0,2024-04-15,2025-09-01,Discontinuado
SKU00214,Muebles,Estanterias,Proveedor J,,18900.0,2025-05-07,2025-10-16,Discontinuado
SKU00215,Decoracion,Espejos,Proveedor J,29460.0,47400.0,2022-09-12,,Activo
SKU00216,Cocina y mesa,Vajilla,Proveedor H,32330.0,52800.0,2023-08-30,2024-01-29,Discontinuado
SKU00217,Muebles,Mesas auxiliares,Proveedor E,16820.0,34500.0,2022-01-14,,Activo
SKU00218,Iluminacion,Apliques,Proveedor J,12100.0,26600.0,2023-08-26,,Activo
SKU00219,Iluminacion,Lamparas de mesa,Proveedor C,19620.0,34000.0,2024-06-30,2024-10-06,Discontinuado
SKU00220,Textil Hogar,Acolchados,Proveedor C,37820.0,76100.0,2022-12-14,,Activo
SKU00221,Textil hogar,Toallas,Proveedor F,38490.0,64100.0,2023-03-18,2025-02-25,Discontinuado
SKU00222,Decoracion,Velas,Proveedor H,40360.0,62800.0,2023-10-27,,Activo
SKU00223,Baño,Cortinas de baño,Proveedor J,28550.0,53000.0,2024-02-24,,Activo
SKU00224,Decoracion,Plantas artificiales,Proveedor H,22190.0,49200.0,2024-08-22,,Activo
SKU00225,Baño,Alfombras de baño,Proveedor G,1430.0,2600.0,2023-05-18,,Activo
SKU00226,Textil hogar,Sabanas,Proveedor I,16740.0,35100.0,2024-10-07,,Activo
SKU00227,Baño,Cortinas de baño,Proveedor A,,33200.0,2025-03-02,,Activo
SKU00228,Decoracion,Plantas artificiales,Proveedor J,25410.0,48000.0,2022-04-22,,Activo
SKU00229,Iluminacion,Guirnaldas,Proveedor B,32150.0,69800.0,2025-04-05,,Activo
SKU00230,Cocina y mesa,Manteleria,Proveedor A,46870.0,80000.0,2024-07-10,,Activo
SKU00231,Textil hogar,Toallas,Proveedor G,22890.0,38900.0,2022-06-15,,Activo
SKU00232,Muebles,Estanterias,Proveedor I,49210.0,84700.0,2023-08-02,,Activo
SKU00233,Iluminacion,Lamparas de mesa,Proveedor G,35900.0,60800.0,2024-03-09,,Activo
SKU00234,Muebles,Sillas,Proveedor I,,82600.0,2025-03-07,,Activo
SKU00235,Baño,Cortinas de baño,Proveedor A,12090.0,26600.0,2023-04-26,,Activo
SKU00236,Decoracion,Cuadros,Proveedor B,13800.0,26400.0,2023-12-27,,Activo
SKU00237,Baño,Alfombras de baño,Proveedor G,12890.0,23800.0,2025-01-27,2025-10-23,Discontinuado
SKU00238,Cocina y mesa,Manteleria,Proveedor F,41230.0,84500.0,2025-04-19,,Activo
SKU00239,Muebles,Racks,Proveedor D,21950.0,35600.0,2023-08-15,2025-03-02,Discontinuado
SKU00240,Decoracion,Cuadros,Proveedor F,7030.0,13500.0,2022-09-19,,Activo
SKU00241,Textil hogar,Toallas,Proveedor D,30500.0,50500.0,2024-07-10,2025-09-24,Discontinuado
SKU00242,Textil hogar,Sabanas,Proveedor F,38990.0,77800.0,2024-03-29,,Activo
SKU00243,Cocina y mesa,Manteleria,Proveedor C,46070.0,85800.0,2024-07-04,,Activo
SKU00244,Muebles,Racks,Proveedor G,6500.0,13500.0,2022-09-30,2025-09-03,Discontinuado
SKU00245,Cocina y mesa,Cristaleria,Proveedor E,24800.0,40500.0,2025-06-05,2025-12-26,Discontinuado
SKU00246,Iluminacion,Apliques,Proveedor I,4000.0,8100.0,2023-11-17,,Activo
SKU00247,Decoracion,Velas,Proveedor C,44630.0,72600.0,2024-10-06,,Activo
SKU00248,Cocina y mesa,Vajilla,Proveedor H,9040.0,19600.0,2023-02-13,,Activo
SKU00249,Baño,Alfombras de baño,Proveedor B,,59600.0,2025-03-07,,Activo
SKU00250,Decoracion,Espejos,Proveedor G,3550.0,6400.0,2024-12-27,,Activo
SKU00251,Textil hogar,Cortinas,Proveedor D,8270.0,14500.0,2023-03-21,,Activo
SKU00252,Cocina y mesa,Vajilla,Proveedor C,5670.0,11900.0,2022-04-16,,Activo
SKU00253,Textil hogar,Sabanas,Proveedor J,31710.0,49600.0,2023-07-17,,Activo
SKU00254,Muebles,Racks,Proveedor A,2110.0,4500.0,2023-12-04,2025-07-08,Discontinuado
SKU00255,Decoracion,Espejos,Proveedor H,12140.0,19800.0,2023-09-14,,Activo
SKU00256,Baño,Alfombras de baño,Proveedor I,11650.0,23100.0,2022-02-06,,Activo
SKU00257,Baño,Alfombras de baño,Proveedor C,24730.0,39800.0,2024-10-29,2024-11-25,Discontinuado
SKU00258,Decoracion,Espejos,Proveedor D,14530.0,26700.0,2024-10-17,,Activo
SKU00259,Decoracion,Plantas artificiales,Proveedor D,24090.0,43800.0,2022-08-09,,Activo
SKU00260,Decoracion,Plantas artificiales,Proveedor C,25170.0,41200.0,2023-03-04,,Activo
SKU00261,Decoracion,Plantas artificiales,Proveedor I,10800.0,19600.0,2024-10-02,,Activo
SKU00262,Cocina y mesa,Vajilla,Proveedor B,8430.0,13500.0,2022-06-29,2023-01-05,Discontinuado
SKU00263,Decoracion,Velas,Proveedor A,25590.0,39400.0,2023-10-22,,Activo
SKU00264,Textil hogar,Cortinas,Proveedor I,29650.0,60400.0,2024-07-12,,Activo
SKU00265,Iluminacion,Apliques,Proveedor B,42430.0,83400.0,2024-12-07,,Activo
SKU00266,Baño,Cortinas de baño,Proveedor E,35100.0,58200.0,2024-05-29,,Activo
SKU00267,Baño,Alfombras de baño,Proveedor J,,11100.0,2025-04-21,,Activo
SKU00268,Organizacion,Percheros,Proveedor D,20610.0,39500.0,2023-09-21,,Activo
SKU00269,Muebles,Mesas auxiliares,Proveedor H,15020.0,29800.0,2025-04-26,,Activo
SKU00270,Textil hogar,Acolchados,Proveedor A,21780.0,33700.0,2022-04-20,2023-02-13,Discontinuado
SKU00271,Baño,Accesorios de baño,Proveedor G,22910.0,42300.0,2023-11-04,,Activo
SKU00272,Baño,Accesorios de baño,Proveedor A,11710.0,24000.0,2023-01-06,,Activo
SKU00273,Decoracion,Velas,Proveedor B,15490.0,24700.0,2024-07-19,,Activo
SKU00274,Cocina y mesa,Manteleria,Proveedor B,38730.0,80000.0,2024-03-26,,Activo
SKU00275,Organizacion,Percheros,Proveedor J,20890.0,36900.0,2023-10-30,2025-08-28,Discontinuado
SKU00276,Decoracion,Cuadros,Proveedor J,24860.0,50700.0,2023-12-16,,Activo
SKU00277,Muebles,Mesas auxiliares,Proveedor H,4510.0,7400.0,2023-02-02,,Activo
SKU00278,Muebles,Mesas auxiliares,Proveedor G,7100.0,13400.0,2023-05-02,,Activo
SKU00279,Textil hogar,Acolchados,Proveedor C,40570.0,69100.0,2024-12-14,,Activo
