id_producto,fecha_vigencia_desde,fecha_vigencia_hasta,precio_lista,costo_unitario
SKU00073,2025-11-25,,64700.0,35860.0
SKU00074,2023-02-24,,46500.0,22190.0
SKU00075,2023-01-14,2025-12-25,4276.6,2719.11
SKU00075,2025-12-26,,14800.0,9410.0
SKU00076,2022-04-04,2023-03-22,19067.98,12264.63
SKU00076,2023-03-23,,86100.0,55380.0
SKU00077,2022-04-25,,33500.0,15380.0
SKU00078,2024-01-14,2025-05-23,20887.73,12474.96
SKU00078,2025-05-24,,50700.0,30280.0
SKU00079,2024-02-07,,59000.0,27170.0
SKU00080,2023-08-02,2024-03-30,7996.13,4726.6
SKU00080,2024-03-31,,22500.0,13300.0
SKU00081,2025-05-08,2025-11-04,4495.6,2783.31
SKU00081,2025-11-05,,6800.0,4210.0
SKU00082,2023-09-10,2026-01-17,32578.0,16274.36
SKU00082,2026-01-18,,89000.0,44460.0
SKU00083,2024-01-04,2025-05-16,2801.51,1808.62
SKU00083,2025-05-17,2025-09-18,4495.6,2902.31
SKU00083,2025-09-19,,6800.0,4390.0
SKU00084,2025-01-10,2026-01-01,40823.93,22080.16
SKU00084,2026-01-02,2026-01-25,58205.16,31481.03
SKU00084,2026-01-26,,69500.0,37590.0
SKU00085,2022-08-22,2024-10-08,10992.31,6959.3
SKU00085,2024-10-09,2026-01-22,23705.92,15008.38
SKU00085,2026-01-23,,44100.0,27920.0
SKU00086,2025-03-05,2026-01-09,20751.46,9559.38
SKU00086,2026-01-10,,33300.0,15340.0
SKU00087,2024-11-09,2026-01-25,31005.84,15890.49
SKU00087,2026-01-26,,56000.0,28700.0
SKU00088,2022-11-15,,62000.0,39650.0
SKU00089,2024-08-01,,33700.0,16830.0
SKU00090,2025-04-14,2025-10-01,4300.48,2650.89
SKU00090,2025-10-02,2026-02-01,5134.99,3165.3
SKU00090,2026-02-02,,6700.0,4130.0
SKU00091,2025-04-27,2025-06-11,5712.57,3658.61
SKU00091,2025-06-12,2026-01-30,6060.47,3881.42
SKU00091,2026-01-31,,8900.0,5700.0
SKU00092,2025-01-30,,64100.0,40530.0
SKU00093,2023-06-22,,73700.0,35980.0
SKU00094,2022-05-13,2025-10-06,3991.87,2563.92
SKU00094,2025-10-07,,17500.0,11240.0
SKU00095,2025-05-13,2026-04-04,18246.85,11093.56
SKU00095,2026-04-05,,27600.0,16780.0
SKU00096,2022-11-01,2026-05-06,4630.32,2361.46
SKU00096,2026-05-07,,17000.0,8670.0
SKU00097,2024-06-18,2024-10-12,29277.22,14629.06
SKU00097,2024-10-13,,61300.0,30630.0
SKU00098,2022-11-24,2024-12-06,18575.76,11624.83
SKU00098,2024-12-07,,68200.0,42680.0
SKU00099,2024-11-17,,30200.0,15390.0
SKU00100,2023-01-10,2023-07-25,1271.42,679.05
SKU00100,2023-07-26,2023-07-31,1518.14,810.83
SKU00100,2023-08-01,,4400.0,2350.0
SKU00101,2022-08-12,,7800.0,4410.0
SKU00102,2024-07-08,,62500.0,35230.0
SKU00103,2022-10-19,,55100.0,31400.0
SKU00104,2023-12-15,2024-02-21,32558.95,18111.42
SKU00104,2024-02-22,,81400.0,45280.0
SKU00105,2024-12-23,2025-12-22,44368.25,23090.88
SKU00105,2025-12-23,2026-07-10,63258.52,32922.08
SKU00105,2026-07-11,,77800.0,40490.0
SKU00106,2024-02-23,2025-02-24,6110.59,3021.35
SKU00106,2025-02-25,,14400.0,7120.0
SKU00107,2022-12-24,2026-05-07,20142.98,9990.13
SKU00107,2026-05-08,,71800.0,35610.0
SKU00108,2025-03-16,2026-02-12,43621.69,27506.59
SKU00108,2026-02-13,,70000.0,44140.0
SKU00109,2022-01-22,,49900.0,23880.0
SKU00110,2022-12-10,,56900.0,29920.0
SKU00111,2023-07-23,2024-09-18,28258.16,13980.71
SKU00111,2024-09-19,2025-03-27,42743.0,21147.08
SKU00111,2025-03-28,,81900.0,40520.0
SKU00112,2022-08-13,,22600.0,12350.0
SKU00113,2024-01-01,2025-06-03,18704.2,9117.27
SKU00113,2025-06-04,,45400.0,22130.0
SKU00114,2022-06-17,2022-07-22,8199.77,4785.94
SKU00114,2022-07-23,,34900.0,20370.0
SKU00115,2023-04-08,2025-02-26,13703.7,6330.86
SKU00115,2025-02-27,,43400.0,20050.0
SKU00116,2025-02-10,2025-05-06,23293.13,12420.99
SKU00116,2025-05-07,2026-04-04,25453.04,13572.75
SKU00116,2026-04-05,,38500.0,20530.0
SKU00117,2024-04-18,2026-05-09,18637.83,8477.06
SKU00117,2026-05-10,2026-06-17,39023.47,17749.08
SKU00117,2026-06-18,,41400.0,18830.0
SKU00118,2024-05-31,,26100.0,16710.0
SKU00119,2024-01-16,2024-03-22,32835.34,20953.65
SKU00119,2024-03-23,2026-06-21,34835.02,22229.72
SKU00119,2026-06-22,,79700.0,50860.0
SKU00120,2022-06-29,2023-03-30,16164.58,8676.71
SKU00120,2023-03-31,,68800.0,36930.0
SKU00121,2022-02-14,2024-06-27,17639.4,8999.23
SKU00121,2024-06-28,,84500.0,43110.0
SKU00122,2022-01-23,2026-07-11,10984.72,6234.13
SKU00122,2026-07-12,,54200.0,30760.0
SKU00123,2025-03-07,2026-06-12,25425.21,12712.61
SKU00123,2026-06-13,,40800.0,20400.0
SKU00124,2024-06-13,2024-08-04,14853.53,8592.12
SKU00124,2024-08-05,2025-06-09,15758.11,9115.38
SKU00124,2025-06-10,,31100.0,17990.0
SKU00125,2022-01-28,2023-05-10,5472.1,2841.44
SKU00125,2023-05-11,,27000.0,14020.0
SKU00126,2023-09-08,2023-11-18,12152.69,6259.37
SKU00126,2023-11-19,2024-01-10,12892.79,6640.56
SKU00126,2024-01-11,,33200.0,17100.0
SKU00127,2023-02-11,2024-10-26,22292.34,12464.66
SKU00127,2024-10-27,,74900.0,41880.0
SKU00128,2025-06-29,2026-01-11,2451.42,1464.05
SKU00128,2026-01-12,,3600.0,2150.0
SKU00129,2023-11-28,2025-09-17,17941.17,10869.55
SKU00129,2025-09-18,,46200.0,27990.0
SKU00130,2025-02-22,2026-04-02,27528.25,
SKU00130,2026-04-03,,45500.0,
SKU00131,2024-07-29,,75900.0,36790.0
SKU00132,2024-06-16,2024-10-22,12656.55,6920.5
SKU00132,2024-10-23,2026-03-14,14245.06,7789.09
SKU00132,2026-03-15,,26500.0,14490.0
SKU00133,2024-10-09,,77700.0,36760.0
SKU00134,2025-03-13,2026-03-25,19816.71,11030.05
SKU00134,2026-03-26,2026-07-27,28253.89,15726.22
SKU00134,2026-07-28,,31800.0,17700.0
SKU00135,2023-03-25,2023-10-22,18914.56,8908.54
SKU00135,2023-10-23,2024-10-29,23262.52,10956.38
SKU00135,2024-10-30,,61700.0,29060.0
SKU00136,2024-05-24,2026-01-01,31763.09,17829.06
SKU00136,2026-01-02,2026-06-13,57367.67,32201.27
SKU00136,2026-06-14,,68500.0,38450.0
SKU00137,2025-02-23,2025-04-01,28738.28,
SKU00137,2025-04-02,,47500.0,
SKU00138,2023-06-17,,29700.0,18650.0
SKU00139,2024-10-05,,89500.0,43410.0
SKU00140,2025-01-06,2025-10-30,12100.33,7060.48
SKU00140,2025-10-31,,20600.0,12020.0
SKU00141,2024-01-01,2025-04-26,28550.68,17546.52
SKU00141,2025-04-27,,69300.0,42590.0
SKU00142,2024-03-08,,28600.0,14070.0
SKU00143,2023-05-03,2024-03-09,2731.9,1434.25
SKU00143,2024-03-10,2025-10-21,3671.44,1927.51
SKU00143,2025-10-22,,8400.0,4410.0
SKU00144,2024-01-14,,51500.0,32160.0
SKU00145,2024-02-16,,4900.0,2290.0
SKU00146,2022-04-13,2023-08-31,13177.06,7698.06
SKU00146,2023-09-01,2023-11-01,21779.67,12723.72
SKU00146,2023-11-02,,59500.0,34760.0
SKU00147,2024-03-26,2025-06-22,5638.29,2644.31
SKU00147,2025-06-23,2025-08-25,8784.27,4119.76
SKU00147,2025-08-26,,12900.0,6050.0
SKU00148,2025-01-27,2025-07-01,2643.28,1533.1
SKU00148,2025-07-02,2026-01-24,3156.21,1830.6
SKU00148,2026-01-25,,4500.0,2610.0
SKU00149,2024-07-18,2025-05-01,13085.44,6518.12
SKU00149,2025-05-02,,26600.0,13250.0
SKU00150,2023-05-11,2024-10-19,19676.18,9330.74
SKU00150,2024-10-20,,60500.0,28690.0
SKU00151,2024-07-26,,49200.0,23030.0
SKU00152,2024-01-12,,7800.0,4550.0
SKU00153,2023-07-17,,71700.0,38900.0
SKU00154,2024-12-05,,37400.0,22080.0
SKU00155,2022-04-17,2023-01-12,1926.73,974.44
SKU00155,2023-01-13,2023-03-19,2513.95,1271.42
SKU00155,2023-03-20,,8700.0,4400.0
SKU00156,2024-08-15,2025-05-15,41396.72,26484.78
SKU00156,2025-05-16,2025-09-06,54013.32,34556.63
SKU00156,2025-09-07,,81700.0,52270.0
SKU00157,2022-02-08,2023-02-04,1127.25,507.26
SKU00157,2023-02-05,2024-04-24,1607.19,723.24
SKU00157,2024-04-25,,5400.0,2430.0
SKU00158,2023-09-06,2024-05-09,25476.73,13766.95
SKU00158,2024-05-10,,69600.0,37610.0
SKU00159,2022-10-21,2023-03-14,18272.71,10572.26
SKU00159,2023-03-15,2025-06-24,21183.08,12256.14
SKU00159,2025-06-25,,69100.0,39980.0
SKU00160,2024-06-10,,41400.0,24510.0
SKU00161,2023-09-27,,55200.0,25010.0
SKU00162,2024-02-24,,43000.0,26940.0
SKU00163,2025-03-20,2025-07-08,44057.9,25599.7
SKU00163,2025-07-09,,70700.0,41080.0
SKU00164,2022-11-23,2024-08-15,15443.48,9473.09
SKU00164,2024-08-16,,56700.0,34780.0
SKU00165,2022-01-15,2024-09-25,5593.7,2958.98
SKU00165,2024-09-26,,27600.0,14600.0
SKU00166,2023-01-20,2026-05-03,16615.16,10206.04
SKU00166,2026-05-04,,57500.0,35320.0
SKU00167,2024-05-15,2025-03-11,14049.95,6797.76
SKU00167,2025-03-12,,30300.0,14660.0
SKU00168,2022-09-16,,26000.0,13980.0
SKU00169,2022-08-05,,10700.0,6160.0
SKU00170,2025-03-01,,80900.0,41940.0
SKU00171,2024-04-22,2026-07-23,38806.3,20717.7
SKU00171,2026-07-24,,86200.0,46020.0
SKU00172,2025-02-11,2025-10-10,29706.31,19172.97
SKU00172,2025-10-11,2026-02-17,37631.06,24287.75
SKU00172,2026-02-18,,49100.0,31690.0
SKU00173,2024-04-29,,64500.0,35550.0
SKU00174,2022-09-11,2024-11-14,17560.78,9563.44
SKU00174,2024-11-15,2026-05-20,37871.42,20624.42
SKU00174,2026-05-21,,68400.0,37250.0
SKU00175,2023-07-04,,65500.0,32390.0
SKU00176,2024-10-25,,8800.0,5010.0
SKU00177,2025-03-12,2025-09-26,29974.33,16252.19
SKU00177,2025-09-27,2026-05-14,35790.92,19405.97
SKU00177,2026-05-15,,48100.0,26080.0
SKU00178,2025-01-28,2025-04-08,7224.95,4599.3
SKU00178,2025-04-09,,12300.0,7830.0
SKU00179,2023-05-06,2023-10-19,3837.67,2468.47
SKU00179,2023-10-20,2023-12-17,4448.91,2861.63
SKU00179,2023-12-18,,11800.0,7590.0
SKU00180,2024-01-15,2025-03-02,12359.6,6258.08
SKU00180,2025-03-03,,30000.0,15190.0
SKU00181,2023-02-08,2024-06-25,25209.09,16187.99
SKU00181,2024-06-26,2024-11-28,40453.19,25976.97
SKU00181,2024-11-29,,84700.0,54390.0
SKU00182,2022-06-23,2023-02-21,14966.33,9593.02
SKU00182,2023-02-22,,63700.0,40830.0
SKU00183,2023-09-26,,17400.0,10810.0
SKU00184,2024-12-04,2026-05-28,32164.13,16372.91
SKU00184,2026-05-29,,56400.0,28710.0
SKU00185,2024-12-18,,54500.0,25720.0
SKU00186,2025-04-27,,71700.0,41470.0
SKU00187,2022-08-04,,11400.0,5630.0
SKU00188,2023-07-30,2025-04-06,9557.4,5206.54
SKU00188,2025-04-07,,27700.0,15090.0
SKU00189,2022-12-18,2023-07-02,6256.11,3186.97
SKU00189,2023-07-03,,22300.0,11360.0
SKU00190,2022-10-01,2024-01-11,13354.15,6402.06
SKU00190,2024-01-12,,50500.0,24210.0
SKU00191,2023-06-13,2024-12-14,22879.33,12357.52
SKU00191,2024-12-15,2025-09-22,38950.54,21037.85
SKU00191,2025-09-23,,68300.0,36890.0
SKU00192,2023-09-23,2025-09-17,13836.5,7815.06
SKU00192,2025-09-18,2026-02-09,28126.75,15886.41
SKU00192,2026-02-10,,37800.0,21350.0
SKU00193,2023-02-07,2024-10-25,4732.29,2973.3
SKU00193,2024-10-26,,15900.0,9990.0
SKU00194,2024-12-06,2025-02-14,6900.46,3860.84
SKU00194,2025-02-15,,12100.0,6770.0
SKU00195,2025-06-07,2025-09-05,59174.67,28273.1
SKU00195,2025-09-06,,86900.0,41520.0
SKU00196,2023-08-01,2025-07-13,22566.85,14556.5
SKU00196,2025-07-14,,63500.0,40960.0
SKU00197,2022-04-06,,89600.0,46550.0
SKU00198,2025-01-18,2025-10-17,33540.23,21416.41
SKU00198,2025-10-18,,57100.0,36460.0
SKU00199,2024-06-23,2025-06-02,27223.52,17002.76
SKU00199,2025-06-03,,57000.0,35600.0
SKU00200,2023-12-30,,63400.0,29000.0
SKU00201,2023-01-30,2023-08-24,9362.28,5886.1
SKU00201,2023-08-25,2026-01-24,11514.42,7239.16
SKU00201,2026-01-25,,32400.0,20370.0
SKU00202,2024-10-06,,43300.0,23240.0
SKU00203,2022-01-25,,28800.0,13880.0
SKU00204,2022-06-23,,60900.0,32220.0
SKU00205,2023-08-04,2023-09-30,28288.52,12975.05
SKU00205,2023-10-01,2024-12-01,30011.29,13765.23
SKU00205,2024-12-02,,79600.0,36510.0
SKU00206,2024-11-24,2025-04-26,43685.02,20463.86
SKU00206,2025-04-27,2025-12-24,50642.91,23723.22
SKU00206,2025-12-25,,78900.0,36960.0
SKU00207,2022-10-30,2025-07-30,19700.68,10670.1
SKU00207,2025-07-31,,74500.0,40350.0
SKU00208,2022-06-29,2022-12-30,15765.16,8516.95
SKU00208,2022-12-31,2023-12-21,18824.43,10169.68
SKU00208,2023-12-22,,67100.0,36250.0
SKU00209,2022-03-01,2023-05-29,3440.2,2199.58
SKU00209,2023-05-30,,16000.0,10230.0
SKU00210,2024-03-13,,58500.0,28840.0
SKU00211,2023-07-24,2026-02-14,18804.27,9250.32
SKU00211,2026-02-15,,54500.0,26810.0
SKU00212,2024-03-14,2025-02-08,16346.67,9300.99
SKU00212,2025-02-09,,37400.0,21280.0
SKU00213,2024-04-15,2025-01-16,25075.53,11826.47
SKU00213,2025-01-17,2025-08-10,32717.88,15430.86
SKU00213,2025-08-11,,55700.0,26270.0
SKU00214,2025-05-07,2025-11-22,12495.13,
SKU00214,2025-11-23,,18900.0,
SKU00215,2022-09-12,2022-10-17,12169.31,7563.46
SKU00215,2022-10-18,2022-10-28,12534.39,7790.36
SKU00215,2022-10-29,,47400.0,29460.0
SKU00216,2023-08-30,2025-04-10,18764.24,11489.55
SKU00216,2025-04-11,,52800.0,32330.0
SKU00217,2022-01-14,,34500.0,16820.0
SKU00218,2023-08-26,2024-09-24,9453.2,4300.14
SKU00218,2024-09-25,2026-06-18,13882.34,6314.9
SKU00218,2026-06-19,,26600.0,12100.0
SKU00219,2024-06-30,,34000.0,19620.0
SKU00220,2022-12-14,,76100.0,37820.0
SKU00221,2023-03-18,2025-07-04,19650.29,11799.37
SKU00221,2025-07-05,,64100.0,38490.0
SKU00222,2023-10-27,2024-07-14,23677.25,15216.78
SKU00222,2024-07-15,2026-03-02,30893.44,19854.45
SKU00222,2026-03-03,,62800.0,40360.0
SKU00223,2024-02-24,2024-05-20,22490.36,12115.09
SKU00223,2024-05-21,,53000.0,28550.0
SKU00224,2024-08-22,,49200.0,22190.0
SKU00225,2023-05-18,2023-09-25,845.59,465.07
SKU00225,2023-09-26,2023-10-07,951.72,523.44
SKU00225,2023-10-08,,2600.0,1430.0
SKU00226,2024-10-07,2025-12-04,18867.98,8998.57
SKU00226,2025-12-05,,35100.0,16740.0
SKU00227,2025-03-02,2026-07-18,20689.14,
SKU00227,2026-07-19,,33200.0,
SKU00228,2022-04-22,,48000.0,25410.0
SKU00229,2025-04-05,,69800.0,32150.0
SKU00230,2024-07-10,,80000.0,46870.0
SKU00231,2022-06-15,2023-09-21,9139.57,5378.01
SKU00231,2023-09-22,2024-11-18,14239.15,8378.77
SKU00231,2024-11-19,,38900.0,22890.0
SKU00232,2023-08-02,2023-12-09,30100.97,17488.42
SKU00232,2023-12-10,2024-10-15,33878.91,19683.37
SKU00232,2024-10-16,,84700.0,49210.0
SKU00233,2024-03-09,,60800.0,35900.0
SKU00234,2025-03-07,,82600.0,
SKU00235,2023-04-26,2025-12-11,8399.04,3817.46
SKU00235,2025-12-12,2025-12-23,21628.23,9830.28
SKU00235,2025-12-24,,26600.0,12090.0
SKU00236,2023-12-27,2025-11-04,10559.66,5519.82
SKU00236,2025-11-05,,26400.0,13800.0
SKU00237,2025-01-27,,23800.0,12890.0
SKU00238,2025-04-19,,84500.0,41230.0
SKU00239,2023-08-15,2024-08-07,12651.65,7800.67
SKU00239,2024-08-08,,35600.0,21950.0
SKU00240,2022-09-19,2025-05-15,3465.94,1804.86
SKU00240,2025-05-16,2025-11-09,8925.09,4647.66
SKU00240,2025-11-10,,13500.0,7030.0
SKU00241,2024-07-10,,50500.0,30500.0
SKU00242,2024-03-29,,77800.0,38990.0
SKU00243,2024-07-04,,85800.0,46070.0
SKU00244,2022-09-30,2023-06-14,3465.94,1668.79
SKU00244,2023-06-15,,13500.0,6500.0
SKU00245,2025-06-05,,40500.0,24800.0
SKU00246,2023-11-17,,8100.0,4000.0
SKU00247,2024-10-06,,72600.0,44630.0
SKU00248,2023-02-13,,19600.0,9040.0
SKU00249,2025-03-07,2025-09-28,37140.75,
SKU00249,2025-09-29,,59600.0,
SKU00250,2024-12-27,2025-07-15,3649.83,2024.52
SKU00250,2025-07-16,2026-06-18,4488.83,2489.9
SKU00250,2026-06-19,,6400.0,3550.0
SKU00251,2023-03-21,2025-04-28,4445.07,2535.23
SKU00251,2025-04-29,2025-05-25,9307.0,5308.2
SKU00251,2025-05-26,,14500.0,8270.0
SKU00252,2022-04-16,2022-08-03,2635.41,1255.7
SKU00252,2022-08-04,2023-03-31,2966.18,1413.3
SKU00252,2023-04-01,,11900.0,5670.0
SKU00253,2023-07-17,2026-04-23,17113.61,10940.98
SKU00253,2026-04-24,,49600.0,31710.0
SKU00254,2023-12-04,,4500.0,2110.0
SKU00255,2023-09-14,2024-02-28,7247.69,4443.79
SKU00255,2024-02-29,2025-12-11,8402.06,5151.56
SKU00255,2025-12-12,,19800.0,12140.0
SKU00256,2022-02-06,2024-09-03,4822.13,2431.94
SKU00256,2024-09-04,,23100.0,11650.0
SKU00257,2024-10-29,2024-12-17,21394.46,13293.59
SKU00257,2024-12-18,,39800.0,24730.0
SKU00258,2024-10-17,,26700.0,14530.0
SKU00259,2022-08-09,,43800.0,24090.0
SKU00260,2023-03-04,2026-02-12,12630.14,7716.04
SKU00260,2026-02-13,,41200.0,25170.0
SKU00261,2024-10-02,,19600.0,10800.0
SKU00262,2022-06-29,,13500.0,8430.0
SKU00263,2023-10-22,2024-10-13,14854.83,9648.1
SKU00263,2024-10-14,,39400.0,25590.0
SKU00264,2024-07-12,2026-03-05,29712.8,14585.84
SKU00264,2026-03-06,2026-05-16,53664.62,26343.64
SKU00264,2026-05-17,,60400.0,29650.0
SKU00265,2024-12-07,2025-05-26,47561.85,24197.24
SKU00265,2025-05-27,2026-02-22,55137.23,28051.23
SKU00265,2026-02-23,,83400.0,42430.0
SKU00266,2024-05-29,2025-04-24,26987.03,16275.68
SKU00266,2025-04-25,2025-07-08,37356.37,22529.35
SKU00266,2025-07-09,,58200.0,35100.0
SKU00267,2025-04-21,2025-05-29,7124.67,
SKU00267,2025-05-30,2025-11-29,7338.41,
SKU00267,2025-11-30,,11100.0,
SKU00268,2023-09-21,,39500.0,20610.0
SKU00269,2025-04-26,,29800.0,15020.0
SKU00270,2022-04-20,2022-06-29,7463.31,4823.47
SKU00270,2022-06-30,2023-01-29,7917.82,5117.22
SKU00270,2023-01-30,,33700.0,21780.0
SKU00271,2023-11-04,2024-09-10,16426.66,8896.8
SKU00271,2024-09-11,,42300.0,22910.0
SKU00272,2023-01-06,,24000.0,11710.0
SKU00273,2024-07-19,,24700.0,15490.0
