fecha_mes,id_tienda,id_producto,stock_disponible,stock_en_transito
2025-12-01,T11,SKU00001,20,5
2023-09-01,T21,SKU00001,13,6
2023-10-01,T21,SKU00001,12,6
2023-11-01,T21,SKU00001,20,5
2023-12-01,T21,SKU00001,15,5
2024-01-01,T21,SKU00001,21,2
2024-02-01,T21,SKU00001,7,4
2024-04-01,T21,SKU00001,21,3
2024-05-01,T21,SKU00001,11,2
2024-06-01,T21,SKU00001,15,2
2024-07-01,T21,SKU00001,24,2
2024-08-01,T21,SKU00001,15,8
2024-09-01,T21,SKU00001,30,3
2024-10-01,T21,SKU00001,7,7
2024-11-01,T21,SKU00001,15,2
2025-01-01,T21,SKU00001,20,4
2025-02-01,T21,SKU00001,23,3
2025-03-01,T21,SKU00001,35,3
2025-04-01,T21,SKU00001,18,3
2025-05-01,T21,SKU00001,7,4
2025-06-01,T21,SKU00001,7,6
2025-07-01,T21,SKU00001,22,4
2025-08-01,T21,SKU00001,14,1
2025-09-01,T21,SKU00001,19,2
2025-10-01,T21,SKU00001,22,1
2025-11-01,T21,SKU00001,25,2
2025-12-01,T21,SKU00001,24,3
2023-08-01,T28,SKU00001,22,1
2023-09-01,T28,SKU00001,6,3
2023-10-01,T28,SKU00001,20,2
2023-11-01,T28,SKU00001,16,2
2023-12-01,T28,SKU00001,7,6
2024-01-01,T28,SKU00001,23,1
2024-02-01,T28,SKU00001,19,2
2024-03-01,T28,SKU00001,10,4
2024-04-01,T28,SKU00001,22,4
2024-05-01,T28,SKU00001,23,0
2024-06-01,T28,SKU00001,19,1
2024-07-01,T28,SKU00001,13,3
2024-08-01,T28,SKU00001,15,5
2024-09-01,T28,SKU00001,26,2
2024-10-01,T28,SKU00001,9,2
2024-11-01,T28,SKU00001,28,4
2025-01-01,T28,SKU00001,32,3
2025-02-01,T28,SKU00001,20,1
2025-04-01,T28,SKU00001,20,3
2025-06-01,T28,SKU00001,25,2
2025-07-01,T28,SKU00001,18,4
2025-08-01,T28,SKU00001,20,5
2025-09-01,T28,SKU00001,8,4
2025-10-01,T28,SKU00001,18,1
2025-11-01,T28,SKU00001,10,1
2025-12-01,T28,SKU00001,14,2
2023-08-01,T12,SKU00001,11,0
2023-09-01,T12,SKU00001,16,0
2023-10-01,T12,SKU00001,15,4
2023-11-01,T12,SKU00001,17,4
2023-12-01,T12,SKU00001,17,4
2024-01-01,T12,SKU00001,20,5
2024-02-01,T12,SKU00001,20,2
2024-03-01,T12,SKU00001,15,3
2024-05-01,T12,SKU00001,16,2
2024-06-01,T12,SKU00001,21,3
2024-07-01,T12,SKU00001,28,2
2024-08-01,T12,SKU00001,15,5
2024-09-01,T12,SKU00001,33,3
2024-10-01,T12,SKU00001,18,1
2024-11-01,T12,SKU00001,11,2
2024-12-01,T12,SKU00001,13,3
2025-01-01,T12,SKU00001,13,4
2025-02-01,T12,SKU00001,13,3
2025-03-01,T12,SKU00001,10,1
2025-04-01,T12,SKU00001,14,3
2025-05-01,T12,SKU00001,10,7
2025-06-01,T12,SKU00001,18,5
2025-07-01,T12,SKU00001,16,2
2025-08-01,T12,SKU00001,14,0
2025-09-01,T12,SKU00001,10,3
2025-10-01,T12,SKU00001,21,1
2025-11-01,T12,SKU00001,17,7
2023-08-01,T22,SKU00001,19,0
2023-09-01,T22,SKU00001,11,1
2023-10-01,T22,SKU00001,10,4
2023-11-01,T22,SKU00001,27,3
2023-12-01,T22,SKU00001,21,7
2024-01-01,T22,SKU00001,31,2
2024-02-01,T22,SKU00001,13,4
2024-03-01,T22,SKU00001,20,4
2024-04-01,T22,SKU00001,16,2
2024-05-01,T22,SKU00001,15,1
2024-06-01,T22,SKU00001,21,5
2024-07-01,T22,SKU00001,21,1
2024-08-01,T22,SKU00001,16,3
2024-09-01,T22,SKU00001,15,3
2024-10-01,T22,SKU00001,5,6
2024-11-01,T22,SKU00001,10,1
2024-12-01,T22,SKU00001,9,2
2025-02-01,T22,SKU00001,13,5
2025-03-01,T22,SKU00001,6,4
2025-04-01,T22,SKU00001,16,5
2025-05-01,T22,SKU00001,11,2
2025-06-01,T22,SKU00001,20,3
2025-07-01,T22,SKU00001,14,0
2025-08-01,T22,SKU00001,23,7
2025-09-01,T22,SKU00001,20,5
2025-10-01,T22,SKU00001,7,6
2025-11-01,T22,SKU00001,19,0
2025-12-01,T22,SKU00001,20,0
2023-08-01,T02,SKU00001,8,1
2023-10-01,T02,SKU00001,13,0
2023-11-01,T02,SKU00001,16,4
2024-01-01,T02,SKU00001,24,6
2024-02-01,T02,SKU00001,11,3
2024-03-01,T02,SKU00001,20,0
2024-04-01,T02,SKU00001,19,2
2024-05-01,T02,SKU00001,18,5
2024-06-01,T02,SKU00001,19,3
2024-07-01,T02,SKU00001,18,5
2024-08-01,T02,SKU00001,21,4
2024-09-01,T02,SKU00001,20,5
2024-10-01,T02,SKU00001,12,2
2024-11-01,T02,SKU00001,17,3
2024-12-01,T02,SKU00001,20,3
2025-01-01,T02,SKU00001,14,1
2025-02-01,T02,SKU00001,29,0
2025-03-01,T02,SKU00001,20,5
2025-04-01,T02,SKU00001,18,6
2025-05-01,T02,SKU00001,24,1
2025-06-01,T02,SKU00001,12,1
2025-07-01,T02,SKU00001,18,4
2025-08-01,T02,SKU00001,16,3
2025-09-01,T02,SKU00001,26,1
2025-10-01,T02,SKU00001,23,2
2025-11-01,T02,SKU00001,15,2
2025-12-01,T02,SKU00001,21,1
2023-08-01,T18,SKU00001,22,6
2023-09-01,T18,SKU00001,10,1
2023-10-01,T18,SKU00001,14,3
2023-12-01,T18,SKU00001,23,4
2024-01-01,T18,SKU00001,22,1
2024-02-01,T18,SKU00001,17,6
2024-03-01,T18,SKU00001,13,3
2024-04-01,T18,SKU00001,18,2
2024-05-01,T18,SKU00001,15,4
2024-06-01,T18,SKU00001,17,7
2024-07-01,T18,SKU00001,14,3
2024-08-01,T18,SKU00001,14,2
2024-09-01,T18,SKU00001,11,2
2024-10-01,T18,SKU00001,27,3
2024-11-01,T18,SKU00001,16,3
2024-12-01,T18,SKU00001,15,1
2025-01-01,T18,SKU00001,32,1
2025-02-01,T18,SKU00001,22,2
2025-03-01,T18,SKU00001,13,5
2025-04-01,T18,SKU00001,3,2
2025-05-01,T18,SKU00001,15,4
2025-06-01,T18,SKU00001,7,5
2025-07-01,T18,SKU00001,10,6
2025-08-01,T18,SKU00001,20,4
2025-09-01,T18,SKU00001,20,0
2025-10-01,T18,SKU00001,15,7
2025-11-01,T18,SKU00001,18,3
2025-12-01,T18,SKU00001,28,5
2023-08-01,T23,SKU00001,17,3
2023-09-01,T23,SKU00001,14,3
2023-10-01,T23,SKU00001,25,5
2023-11-01,T23,SKU00001,15,3
2023-12-01,T23,SKU00001,23,4
2024-01-01,T23,SKU00001,15,3
2024-02-01,T23,SKU00001,29,5
2024-03-01,T23,SKU00001,28,1
2024-04-01,T23,SKU00001,15,2
2024-05-01,T23,SKU00001,13,4
2024-06-01,T23,SKU00001,18,3
2024-07-01,T23,SKU00001,3,5
2024-08-01,T23,SKU00001,26,2
2024-09-01,T23,SKU00001,14,2
2024-10-01,T23,SKU00001,14,4
2024-11-01,T23,SKU00001,8,8
2024-12-01,T23,SKU00001,9,4
2025-01-01,T23,SKU00001,22,3
2025-02-01,T23,SKU00001,16,6
2025-03-01,T23,SKU00001,19,5
2025-04-01,T23,SKU00001,23,2
2025-05-01,T23,SKU00001,20,4
2025-06-01,T23,SKU00001,16,0
2025-07-01,T23,SKU00001,22,3
2025-08-01,T23,SKU00001,28,3
2025-10-01,T23,SKU00001,18,1
2025-11-01,T23,SKU00001,12,2
2025-12-01,T23,SKU00001,14,5
2023-08-01,T15,SKU00001,11,3
2023-09-01,T15,SKU00001,11,1
2023-10-01,T15,SKU00001,17,7
2023-11-01,T15,SKU00001,15,2
2023-12-01,T15,SKU00001,22,1
2024-01-01,T15,SKU00001,23,2
2024-02-01,T15,SKU00001,19,3
2024-03-01,T15,SKU00001,21,2
2024-04-01,T15,SKU00001,0,2
2024-05-01,T15,SKU00001,9,4
2024-07-01,T15,SKU00001,23,3
2024-08-01,T15,SKU00001,17,1
2024-09-01,T15,SKU00001,26,3
2024-10-01,T15,SKU00001,20,3
2024-11-01,T15,SKU00001,24,1
2024-12-01,T15,SKU00001,9,2
2025-01-01,T15,SKU00001,17,0
2025-02-01,T15,SKU00001,21,4
2025-03-01,T15,SKU00001,26,1
2025-04-01,T15,SKU00001,17,4
2025-05-01,T15,SKU00001,19,5
2025-06-01,T15,SKU00001,17,1
2025-07-01,T15,SKU00001,15,1
2025-08-01,T15,SKU00001,18,3
2025-09-01,T15,SKU00001,17,4
2025-10-01,T15,SKU00001,13,2
2025-12-01,T15,SKU00001,21,2
2023-08-01,T16,SKU00001,6,5
2023-09-01,T16,SKU00001,19,2
2023-10-01,T16,SKU00001,18,3
2023-11-01,T16,SKU00001,16,1
2023-12-01,T16,SKU00001,22,2
2024-01-01,T16,SKU00001,17,5
2024-02-01,T16,SKU00001,14,0
2024-03-01,T16,SKU00001,23,5
2024-04-01,T16,SKU00001,-28,1
2024-05-01,T16,SKU00001,16,3
2024-06-01,T16,SKU00001,15,7
2024-07-01,T16,SKU00001,18,6
2024-08-01,T16,SKU00001,11,3
2024-09-01,T16,SKU00001,16,3
2024-10-01,T16,SKU00001,23,0
2024-11-01,T16,SKU00001,16,4
2024-12-01,T16,SKU00001,21,2
2025-01-01,T16,SKU00001,11,7
2025-02-01,T16,SKU00001,11,4
2025-03-01,T16,SKU00001,8,4
2025-04-01,T16,SKU00001,18,2
2025-05-01,T16,SKU00001,29,1
2025-06-01,T16,SKU00001,18,3
2025-07-01,T16,SKU00001,21,2
2025-08-01,T16,SKU00001,19,5
2025-09-01,T16,SKU00001,15,4
2025-11-01,T16,SKU00001,24,2
2025-12-01,T16,SKU00001,17,0
2024-01-01,T06,SKU00002,53,7
2024-02-01,T06,SKU00002,2,6
2024-03-01,T06,SKU00002,41,8
2024-04-01,T06,SKU00002,22,8
2024-05-01,T06,SKU00002,50,9
2024-06-01,T06,SKU00002,15,7
2024-07-01,T06,SKU00002,35,4
2024-08-01,T06,SKU00002,24,7
2024-09-01,T06,SKU00002,51,7
2024-10-01,T06,SKU00002,57,5
2024-11-01,T06,SKU00002,38,8
2024-12-01,T06,SKU00002,31,3
2025-01-01,T06,SKU00002,49,6
2025-02-01,T06,SKU00002,26,14
2025-03-01,T06,SKU00002,7,7
2025-04-01,T06,SKU00002,26,6
2025-05-01,T06,SKU00002,31,12
2025-06-01,T06,SKU00002,15,4
2025-07-01,T06,SKU00002,52,8
2025-08-01,T06,SKU00002,18,7
2025-09-01,T06,SKU00002,46,8
2025-10-01,T06,SKU00002,32,6
2025-11-01,T06,SKU00002,50,11
2025-12-01,T06,SKU00002,32,2
2024-01-01,T15,SKU00002,47,7
2024-02-01,T15,SKU00002,46,3
2024-03-01,T15,SKU00002,34,7
2024-04-01,T15,SKU00002,43,5
2024-05-01,T15,SKU00002,51,4
2024-06-01,T15,SKU00002,28,6
2024-07-01,T15,SKU00002,40,4
2024-08-01,T15,SKU00002,27,7
2024-09-01,T15,SKU00002,27,8
2024-10-01,T15,SKU00002,52,7
2024-11-01,T15,SKU00002,38,9
2024-12-01,T15,SKU00002,18,2
2025-01-01,T15,SKU00002,42,6
2025-02-01,T15,SKU00002,48,6
2025-03-01,T15,SKU00002,17,11
2025-04-01,T15,SKU00002,14,5
2025-05-01,T15,SKU00002,-54,3
2025-06-01,T15,SKU00002,41,9
2025-07-01,T15,SKU00002,16,6
2025-08-01,T15,SKU00002,27,8
2025-09-01,T15,SKU00002,41,6
2025-10-01,T15,SKU00002,19,2
2025-11-01,T15,SKU00002,76,5
2025-12-01,T15,SKU00002,28,6
2024-01-01,T07,SKU00002,34,5
2024-02-01,T07,SKU00002,39,10
2024-03-01,T07,SKU00002,26,6
2024-04-01,T07,SKU00002,34,7
2024-05-01,T07,SKU00002,47,2
2024-06-01,T07,SKU00002,36,10
2024-07-01,T07,SKU00002,17,7
2024-08-01,T07,SKU00002,27,3
2024-09-01,T07,SKU00002,29,1
2024-10-01,T07,SKU00002,45,10
2024-11-01,T07,SKU00002,34,5
2024-12-01,T07,SKU00002,24,8
2025-01-01,T07,SKU00002,48,8
2025-03-01,T07,SKU00002,27,8
2025-04-01,T07,SKU00002,50,5
2025-05-01,T07,SKU00002,53,4
2025-06-01,T07,SKU00002,34,8
2025-07-01,T07,SKU00002,34,7
2025-08-01,T07,SKU00002,42,5
2025-09-01,T07,SKU00002,43,3
2025-10-01,T07,SKU00002,52,7
2025-12-01,T07,SKU00002,38,7
2024-01-01,T28,SKU00002,16,11
2024-02-01,T28,SKU00002,53,5
2024-03-01,T28,SKU00002,25,8
2024-05-01,T28,SKU00002,43,8
2024-06-01,T28,SKU00002,51,7
2024-07-01,T28,SKU00002,43,4
2024-08-01,T28,SKU00002,32,7
2024-09-01,T28,SKU00002,27,8
2024-10-01,T28,SKU00002,32,4
2024-11-01,T28,SKU00002,50,5
2024-12-01,T28,SKU00002,54,5
2025-01-01,T28,SKU00002,34,3
2025-02-01,T28,SKU00002,46,4
2025-04-01,T28,SKU00002,19,6
2025-05-01,T28,SKU00002,48,9
2025-06-01,T28,SKU00002,24,7
2025-07-01,T28,SKU00002,22,10
2025-08-01,T28,SKU00002,26,1
2025-09-01,T28,SKU00002,42,7
2025-10-01,T28,SKU00002,25,4
2025-11-01,T28,SKU00002,10,8
2024-01-01,T27,SKU00002,30,5
2024-02-01,T27,SKU00002,27,7
2024-03-01,T27,SKU00002,40,6
2024-04-01,T27,SKU00002,64,9
2024-05-01,T27,SKU00002,23,4
2024-06-01,T27,SKU00002,32,7
2024-07-01,T27,SKU00002,24,3
2024-08-01,T27,SKU00002,34,4
2024-09-01,T27,SKU00002,27,6
2024-10-01,T27,SKU00002,48,10
2024-11-01,T27,SKU00002,38,5
2024-12-01,T27,SKU00002,41,6
2025-02-01,T27,SKU00002,34,7
2025-03-01,T27,SKU00002,27,6
2025-04-01,T27,SKU00002,37,3
2025-05-01,T27,SKU00002,28,6
2025-06-01,T27,SKU00002,51,7
2025-07-01,T27,SKU00002,40,5
2025-08-01,T27,SKU00002,23,2
2025-09-01,T27,SKU00002,33,5
2025-10-01,T27,SKU00002,24,4
2025-11-01,T27,SKU00002,39,5
2025-12-01,T27,SKU00002,53,6
2024-01-01,T09,SKU00002,42,5
2024-03-01,T09,SKU00002,34,8
2024-04-01,T09,SKU00002,36,9
2024-05-01,T09,SKU00002,43,6
2024-06-01,T09,SKU00002,35,6
2024-07-01,T09,SKU00002,49,3
2024-08-01,T09,SKU00002,36,3
2024-09-01,T09,SKU00002,45,6
2024-10-01,T09,SKU00002,31,4
2024-11-01,T09,SKU00002,24,1
2024-12-01,T09,SKU00002,28,5
2025-01-01,T09,SKU00002,25,7
2025-02-01,T09,SKU00002,38,7
2025-03-01,T09,SKU00002,23,3
2025-04-01,T09,SKU00002,44,5
2025-05-01,T09,SKU00002,48,9
2025-06-01,T09,SKU00002,64,5
2025-08-01,T09,SKU00002,41,3
2025-09-01,T09,SKU00002,37,8
2025-10-01,T09,SKU00002,50,6
2025-11-01,T09,SKU00002,44,6
2025-12-01,T09,SKU00002,31,7
2024-01-01,T16,SKU00002,40,6
2024-02-01,T16,SKU00002,3,2
2024-03-01,T16,SKU00002,31,5
2024-06-01,T16,SKU00002,48,6
2024-07-01,T16,SKU00002,46,7
2024-08-01,T16,SKU00002,6,4
2024-09-01,T16,SKU00002,61,1
2024-10-01,T16,SKU00002,38,10
2024-11-01,T16,SKU00002,24,4
2024-12-01,T16,SKU00002,35,4
2025-01-01,T16,SKU00002,40,4
2025-04-01,T16,SKU00002,57,9
2025-05-01,T16,SKU00002,41,8
2025-06-01,T16,SKU00002,30,5
2025-07-01,T16,SKU00002,36,5
2025-08-01,T16,SKU00002,23,2
2025-09-01,T16,SKU00002,59,2
2025-10-01,T16,SKU00002,58,10
2025-11-01,T16,SKU00002,38,10
2025-12-01,T16,SKU00002,31,9
2024-01-01,T25,SKU00002,27,8
2024-02-01,T25,SKU00002,42,3
2024-03-01,T25,SKU00002,39,7
2024-05-01,T25,SKU00002,17,4
2024-06-01,T25,SKU00002,42,5
2024-07-01,T25,SKU00002,60,6
2024-08-01,T25,SKU00002,14,13
2024-09-01,T25,SKU00002,47,7
2024-11-01,T25,SKU00002,46,3
2024-12-01,T25,SKU00002,30,5
2025-01-01,T25,SKU00002,41,3
2025-02-01,T25,SKU00002,43,12
2025-03-01,T25,SKU00002,34,4
2025-04-01,T25,SKU00002,32,9
2025-05-01,T25,SKU00002,29,8
2025-06-01,T25,SKU00002,19,3
2025-07-01,T25,SKU00002,41,4
2025-08-01,T25,SKU00002,53,9
2025-09-01,T25,SKU00002,39,3
2025-10-01,T25,SKU00002,40,7
2025-11-01,T25,SKU00002,33,5
2025-12-01,T25,SKU00002,25,7
2024-01-01,T21,SKU00002,49,5
2024-02-01,T21,SKU00002,31,6
2024-03-01,T21,SKU00002,37,8
2024-04-01,T21,SKU00002,0,11
2024-05-01,T21,SKU00002,30,4
2024-06-01,T21,SKU00002,28,4
2024-07-01,T21,SKU00002,38,6
2024-09-01,T21,SKU00002,34,5
2024-10-01,T21,SKU00002,40,6
2024-11-01,T21,SKU00002,44,7
2024-12-01,T21,SKU00002,9,6
2025-01-01,T21,SKU00002,27,3
2025-02-01,T21,SKU00002,39,4
2025-03-01,T21,SKU00002,20,8
2025-04-01,T21,SKU00002,44,5
2025-05-01,T21,SKU00002,42,7
2025-06-01,T21,SKU00002,43,10
2025-07-01,T21,SKU00002,29,1
2025-08-01,T21,SKU00002,45,3
2025-09-01,T21,SKU00002,31,7
2025-11-01,T21,SKU00002,35,3
2025-12-01,T21,SKU00002,36,4
2024-01-01,T11,SKU00002,41,4
2024-02-01,T11,SKU00002,31,8
2024-03-01,T11,SKU00002,42,6
2024-04-01,T11,SKU00002,16,5
2024-05-01,T11,SKU00002,33,6
2024-06-01,T11,SKU00002,50,15
2024-07-01,T11,SKU00002,56,9
2024-08-01,T11,SKU00002,44,7
2024-09-01,T11,SKU00002,45,6
2024-10-01,T11,SKU00002,16,5
2024-11-01,T11,SKU00002,47,2
2024-12-01,T11,SKU00002,24,6
2025-01-01,T11,SKU00002,41,8
2025-02-01,T11,SKU00002,38,6
2025-03-01,T11,SKU00002,34,7
2025-04-01,T11,SKU00002,41,10
2025-06-01,T11,SKU00002,37,9
2025-07-01,T11,SKU00002,35,8
2025-08-01,T11,SKU00002,29,9
2025-09-01,T11,SKU00002,40,4
2025-10-01,T11,SKU00002,35,9
2025-11-01,T11,SKU00002,42,5
2025-12-01,T11,SKU00002,47,5
2024-02-01,T02,SKU00002,49,7
2024-03-01,T02,SKU00002,28,5
2024-04-01,T02,SKU00002,31,6
2024-06-01,T02,SKU00002,34,4
2024-07-01,T02,SKU00002,37,5
2024-08-01,T02,SKU00002,21,4
2024-09-01,T02,SKU00002,42,8
2024-10-01,T02,SKU00002,22,4
2024-12-01,T02,SKU00002,67,5
2025-02-01,T02,SKU00002,38,6
2025-04-01,T02,SKU00002,31,5
2025-05-01,T02,SKU00002,38,4
2025-06-01,T02,SKU00002,44,4
2025-07-01,T02,SKU00002,41,5
2025-08-01,T02,SKU00002,31,4
2025-09-01,T02,SKU00002,38,9
2025-10-01,T02,SKU00002,35,6
2025-11-01,T02,SKU00002,27,1
2025-12-01,T02,SKU00002,21,8
2024-01-01,T18,SKU00002,26,7
2024-02-01,T18,SKU00002,33,6
2024-03-01,T18,SKU00002,35,11
2024-04-01,T18,SKU00002,48,7
2024-05-01,T18,SKU00002,43,5
2024-06-01,T18,SKU00002,32,4
2024-07-01,T18,SKU00002,50,8
2024-08-01,T18,SKU00002,42,4
2024-10-01,T18,SKU00002,46,8
2024-11-01,T18,SKU00002,50,5
2024-12-01,T18,SKU00002,30,4
2025-01-01,T18,SKU00002,38,3
2025-02-01,T18,SKU00002,23,3
2025-03-01,T18,SKU00002,20,5
2025-04-01,T18,SKU00002,39,5
2025-05-01,T18,SKU00002,36,8
2025-07-01,T18,SKU00002,14,6
2025-08-01,T18,SKU00002,37,6
2025-09-01,T18,SKU00002,38,7
2025-10-01,T18,SKU00002,21,6
2025-11-01,T18,SKU00002,51,5
2025-12-01,T18,SKU00002,29,6
2024-01-01,T26,SKU00002,36,4
2024-02-01,T26,SKU00002,41,2
2024-03-01,T26,SKU00002,35,4
2024-04-01,T26,SKU00002,5,6
2024-05-01,T26,SKU00002,41,7
2024-06-01,T26,SKU00002,50,13
2024-07-01,T26,SKU00002,26,4
2024-08-01,T26,SKU00002,33,7
2024-09-01,T26,SKU00002,19,5
2024-10-01,T26,SKU00002,35,6
2024-11-01,T26,SKU00002,39,3
2024-12-01,T26,SKU00002,48,6
2025-01-01,T26,SKU00002,40,6
2025-02-01,T26,SKU00002,35,4
2025-03-01,T26,SKU00002,5,9
2025-04-01,T26,SKU00002,60,7
2025-05-01,T26,SKU00002,36,7
2025-07-01,T26,SKU00002,31,7
2025-08-01,T26,SKU00002,22,7
2025-09-01,T26,SKU00002,25,11
2025-10-01,T26,SKU00002,46,9
2025-11-01,T26,SKU00002,34,7
2024-01-01,T05,SKU00002,31,4
2024-02-01,T05,SKU00002,48,3
2024-03-01,T05,SKU00002,47,2
2024-04-01,T05,SKU00002,2,2
2024-05-01,T05,SKU00002,45,6
2024-06-01,T05,SKU00002,35,3
2024-07-01,T05,SKU00002,40,12
2024-08-01,T05,SKU00002,42,5
2024-09-01,T05,SKU00002,37,6
2024-10-01,T05,SKU00002,37,6
2024-11-01,T05,SKU00002,32,5
2024-12-01,T05,SKU00002,31,6
2025-01-01,T05,SKU00002,26,2
2025-02-01,T05,SKU00002,27,6
2025-03-01,T05,SKU00002,26,10
2025-04-01,T05,SKU00002,20,11
2025-05-01,T05,SKU00002,32,8
2025-06-01,T05,SKU00002,32,5
2025-07-01,T05,SKU00002,33,6
2025-08-01,T05,SKU00002,30,4
2025-09-01,T05,SKU00002,52,11
2025-10-01,T05,SKU00002,32,10
2025-11-01,T05,SKU00002,43,4
2025-04-01,T03,SKU00003,4,1
2025-05-01,T03,SKU00003,3,2
2025-06-01,T03,SKU00003,1,1
2025-07-01,T03,SKU00003,4,2
2025-08-01,T03,SKU00003,3,2
2025-04-01,T21,SKU00003,4,0
2025-05-01,T21,SKU00003,4,0
2025-06-01,T21,SKU00003,5,0
2025-07-01,T21,SKU00003,3,0
2025-08-01,T21,SKU00003,4,0
2025-04-01,T17,SKU00003,4,1
2025-05-01,T17,SKU00003,2,1
2025-06-01,T17,SKU00003,0,1
2025-07-01,T17,SKU00003,4,0
2025-04-01,T08,SKU00003,2,0
2025-05-01,T08,SKU00003,1,0
2025-06-01,T08,SKU00003,2,0
2025-07-01,T08,SKU00003,3,1
2025-08-01,T08,SKU00003,2,1
2025-04-01,T23,SKU00003,4,1
2025-05-01,T23,SKU00003,4,0
2025-06-01,T23,SKU00003,3,2
2025-07-01,T23,SKU00003,4,0
2025-08-01,T23,SKU00003,3,1
2025-04-01,T05,SKU00003,3,0
2025-05-01,T05,SKU00003,3,0
2025-06-01,T05,SKU00003,3,0
2025-07-01,T05,SKU00003,2,0
2025-08-01,T05,SKU00003,2,1
2025-04-01,T22,SKU00003,4,0
2025-05-01,T22,SKU00003,3,1
2025-06-01,T22,SKU00003,4,1
2025-08-01,T22,SKU00003,4,0
2025-04-01,T20,SKU00003,4,0
2025-05-01,T20,SKU00003,4,1
2025-06-01,T20,SKU00003,1,2
2025-07-01,T20,SKU00003,2,0
2025-08-01,T20,SKU00003,4,0
2025-04-01,T15,SKU00003,2,0
2025-06-01,T15,SKU00003,4,0
2025-07-01,T15,SKU00003,2,0
2025-08-01,T15,SKU00003,3,0
2025-04-01,T12,SKU00003,3,0
2025-05-01,T12,SKU00003,3,3
2025-06-01,T12,SKU00003,4,1
2025-07-01,T12,SKU00003,4,2
2025-08-01,T12,SKU00003,3,1
2025-04-01,T10,SKU00003,3,2
2025-05-01,T10,SKU00003,2,0
2025-06-01,T10,SKU00003,3,3
2025-07-01,T10,SKU00003,5,0
2025-08-01,T10,SKU00003,3,0
2025-04-01,T06,SKU00003,1,0
2025-05-01,T06,SKU00003,2,1
2025-06-01,T06,SKU00003,4,1
2025-07-01,T06,SKU00003,4,2
2025-08-01,T06,SKU00003,3,1
2025-04-01,T28,SKU00003,3,2
2025-05-01,T28,SKU00003,3,0
2025-06-01,T28,SKU00003,4,1
2025-07-01,T28,SKU00003,4,1
2025-08-01,T28,SKU00003,2,0
2025-04-01,T18,SKU00003,4,0
2025-05-01,T18,SKU00003,1,2
2025-06-01,T18,SKU00003,3,1
2025-07-01,T18,SKU00003,4,0
2025-08-01,T18,SKU00003,6,0
2025-04-01,T13,SKU00003,2,0
2025-07-01,T13,SKU00003,5,1
2025-08-01,T13,SKU00003,3,0
2025-04-01,T09,SKU00003,3,0
2025-05-01,T09,SKU00003,2,0
2025-06-01,T09,SKU00003,3,0
2025-07-01,T09,SKU00003,5,1
2025-08-01,T09,SKU00003,5,0
2025-04-01,T24,SKU00003,2,0
2025-05-01,T24,SKU00003,4,0
2025-06-01,T24,SKU00003,2,0
2025-07-01,T24,SKU00003,2,1
2025-08-01,T24,SKU00003,3,1
2023-11-01,T26,SKU00004,25,10
2023-12-01,T26,SKU00004,40,5
2024-01-01,T26,SKU00004,32,4
2024-02-01,T26,SKU00004,27,8
2024-03-01,T26,SKU00004,44,4
2024-04-01,T26,SKU00004,38,11
2024-05-01,T26,SKU00004,30,2
