id_transferencia,id_producto,origen,destino,fecha_envio,fecha_recepcion,unidades
TRF00079,SKU00690,T19,T20,2026-03-19,2026-04-04,30
TRF00080,SKU00670,DEP-CENTRAL,T13,2023-12-17,2023-12-25,32
TRF00081,SKU00054,T27,DEP-CENTRAL,2023-04-03,2023-04-22,24
TRF00082,SKU00790,DEP-CENTRAL,T21,2025-05-02,2025-05-17,6
TRF00083,SKU00510,DEP-CENTRAL,T04,2024-12-04,2024-12-21,42
TRF00084,SKU00387,T16,T06,2025-05-20,2025-06-06,59
TRF00085,SKU00162,T26,T27,2026-06-24,2026-07-06,5
TRF00086,SKU00008,DEP-CENTRAL,T21,2026-03-11,2026-03-27,19
TRF00087,SKU00594,DEP-CENTRAL,T05,2024-12-08,2024-12-17,36
TRF00088,SKU00518,DEP-CENTRAL,T13,2026-01-06,2026-01-15,15
TRF00089,SKU00506,DEP-CENTRAL,T08,2023-11-06,2023-11-17,31
TRF00090,SKU00325,DEP-CENTRAL,T25,2024-11-27,2024-12-15,3
TRF00091,SKU00312,DEP-CENTRAL,T09,2023-10-03,2023-10-12,16
TRF00092,SKU00221,T14,DEP-CENTRAL,2024-02-12,2024-02-25,26
TRF00093,SKU00232,T27,T03,2023-10-20,2023-11-09,26
TRF00094,SKU00259,DEP-CENTRAL,T26,2025-08-10,2025-08-24,50
TRF00095,SKU00220,T20,T19,2023-05-16,2023-05-19,57
TRF00096,SKU00286,DEP-CENTRAL,T18,2024-06-19,2024-06-27,14
TRF00097,SKU00617,DEP-CENTRAL,T05,2024-08-23,2024-08-31,27
TRF00098,SKU00114,DEP-CENTRAL,T09,2024-06-22,2024-07-10,51
TRF00099,SKU00164,DEP-CENTRAL,T05,2025-07-09,2025-07-27,33
TRF00100,SKU00109,DEP-CENTRAL,T11,2026-07-17,2026-07-26,52
TRF00101,SKU00639,T22,T28,2025-12-08,2025-12-29,47
TRF00102,SKU00484,DEP-CENTRAL,T28,2025-12-09,2025-12-15,20
TRF00103,SKU00687,T24,T10,2026-07-22,2026-08-03,45
TRF00104,SKU00383,T22,DEP-CENTRAL,2025-05-17,2025-06-02,18
TRF00105,SKU00574,DEP-CENTRAL,T08,2025-07-13,2025-08-01,13
TRF00106,SKU00061,DEP-CENTRAL,T19,2026-05-15,2026-05-23,38
TRF00107,SKU00077,DEP-CENTRAL,T22,2026-07-11,2026-07-14,13
TRF00108,SKU00609,T25,T28,2025-03-15,2025-03-24,6
TRF00109,SKU00143,T10,T16,2023-08-09,2023-08-30,4
TRF00110,SKU00544,DEP-CENTRAL,T01,2025-06-14,2025-06-20,54
TRF00111,SKU00248,T21,T02,2026-05-27,2026-06-05,22
TRF00112,SKU00704,DEP-CENTRAL,T21,2025-04-21,2025-05-02,51
TRF00113,SKU00127,DEP-CENTRAL,T02,2025-03-02,2025-03-17,40
TRF00114,SKU00689,DEP-CENTRAL,T21,2026-04-13,2026-04-21,36
TRF00115,SKU00320,T04,T06,2023-01-10,2023-01-17,50
TRF00116,SKU00100,DEP-CENTRAL,T13,2025-08-22,2025-09-06,35
TRF00117,SKU00365,DEP-CENTRAL,T01,2026-02-19,2026-02-23,53
TRF00118,SKU00574,T21,T13,2025-10-25,2025-11-04,44
TRF00119,SKU00737,T10,DEP-CENTRAL,2025-01-16,2025-01-31,20
TRF00120,SKU00311,DEP-CENTRAL,T03,2023-08-16,2023-08-23,20
TRF00121,SKU00677,T14,T16,2025-06-05,2025-06-25,14
TRF00122,SKU00192,T07,T06,2026-06-07,2026-06-22,32
TRF00123,SKU00707,DEP-CENTRAL,T18,2025-08-13,2025-08-30,55
TRF00124,SKU00143,DEP-CENTRAL,T24,2025-09-13,2025-09-25,18
TRF00125,SKU00038,T12,T03,2025-10-06,2025-10-20,54
TRF00126,SKU00209,T28,DEP-CENTRAL,2023-07-18,2023-07-27,52
TRF00127,SKU00432,T18,T20,2025-07-21,2025-07-30,19
TRF00128,SKU00600,DEP-CENTRAL,T08,2026-06-23,2026-07-13,22
TRF00129,SKU00192,DEP-CENTRAL,T11,2023-12-15,2023-12-29,30
TRF00130,SKU00316,DEP-CENTRAL,T10,2026-08-06,2026-08-24,37
TRF00131,SKU00234,T11,T24,2025-11-22,2025-12-12,41
TRF00132,SKU00503,DEP-CENTRAL,T11,2025-05-18,2025-06-04,20
TRF00133,SKU00778,DEP-CENTRAL,T04,2024-02-18,2024-03-05,33
TRF00134,SKU00301,DEP-CENTRAL,T22,2024-12-04,2024-12-19,57
TRF00135,SKU00662,T08,T15,2025-09-16,2025-09-20,7
TRF00136,SKU00190,DEP-CENTRAL,T11,2026-04-07,2026-04-12,17
TRF00137,SKU00004,DEP-CENTRAL,T20,2025-12-09,2025-12-22,59
TRF00138,SKU00644,DEP-CENTRAL,T22,2026-06-04,2026-06-19,53
TRF00139,SKU00623,T01,T28,2024-09-03,2024-09-14,43
TRF00140,SKU00039,T05,T04,2026-04-26,2026-05-09,26
TRF00141,SKU00771,T26,T14,2025-02-02,2025-02-21,10
TRF00142,SKU00251,DEP-CENTRAL,T19,2024-08-18,2024-09-01,28
TRF00143,SKU00411,T21,DEP-CENTRAL,2025-08-09,2025-08-14,45
TRF00144,SKU00488,T25,T16,2023-06-25,2023-07-11,57
TRF00145,SKU00271,DEP-CENTRAL,T19,2025-02-14,2025-02-18,58
TRF00146,SKU00453,T06,T19,2025-10-12,2025-10-24,35
TRF00147,SKU00404,DEP-CENTRAL,T22,2024-08-04,2024-08-23,43
TRF00148,SKU00779,DEP-CENTRAL,T23,2025-04-05,2025-04-12,38
TRF00149,SKU00609,DEP-CENTRAL,T28,2025-09-09,2025-09-28,39
TRF00150,SKU00076,T13,T08,2024-11-08,2024-11-16,23
TRF00151,SKU00348,DEP-CENTRAL,T15,2023-05-25,2023-06-10,50
TRF00152,SKU00250,DEP-CENTRAL,T02,2025-03-08,2025-03-18,14
TRF00153,SKU00449,DEP-CENTRAL,T08,2023-11-15,2023-12-05,22
TRF00154,SKU00566,DEP-CENTRAL,T12,2025-07-12,2025-07-21,6
TRF00155,SKU00619,T14,T13,2024-03-11,2024-03-24,28
TRF00156,SKU00725,T25,T06,2023-10-24,2023-10-29,7
TRF00157,SKU00026,T06,T24,2024-09-24,2024-10-15,44
TRF00158,SKU00571,T22,T20,2025-06-16,2025-07-03,37
TRF00159,SKU00407,T06,T22,2022-03-18,2022-03-23,11
TRF00160,SKU00208,T20,DEP-CENTRAL,2024-09-15,2024-09-28,14
TRF00161,SKU00685,DEP-CENTRAL,T19,2026-07-03,2026-07-14,38
TRF00162,SKU00004,DEP-CENTRAL,T28,2025-07-25,2025-08-14,24
TRF00163,SKU00521,T22,T02,2025-03-02,2025-03-05,21
TRF00164,SKU00587,DEP-CENTRAL,T23,2023-02-26,2023-03-18,46
TRF00165,SKU00723,T13,T19,2026-04-06,2026-04-18,45
TRF00166,SKU00631,T22,T20,2025-02-10,2025-02-18,8
TRF00167,SKU00506,DEP-CENTRAL,T12,2022-12-09,2022-12-14,51
TRF00168,SKU00122,DEP-CENTRAL,T11,2022-11-02,2022-11-13,28
TRF00169,SKU00112,T20,DEP-CENTRAL,2022-10-08,2022-10-29,2
TRF00170,SKU00164,DEP-CENTRAL,T12,2025-04-19,2025-04-25,51
TRF00171,SKU00143,DEP-CENTRAL,T23,2025-02-22,2025-03-09,17
TRF00172,SKU00319,T21,T08,2024-03-22,2024-04-10,28
TRF00173,SKU00039,DEP-CENTRAL,T21,2022-07-21,2022-07-28,19
TRF00174,SKU00020,DEP-CENTRAL,T13,2022-09-23,2022-09-29,31
TRF00175,SKU00071,DEP-CENTRAL,T20,2026-05-26,2026-06-10,56
TRF00176,SKU00220,T13,DEP-CENTRAL,2025-04-19,2025-05-01,10
TRF00177,SKU00557,DEP-CENTRAL,T06,2024-11-06,2024-11-24,42
TRF00178,SKU00306,DEP-CENTRAL,T08,2024-03-17,2024-04-03,47
TRF00179,SKU00415,DEP-CENTRAL,T21,2024-04-02,2024-04-13,8
TRF00180,SKU00595,DEP-CENTRAL,T02,2025-04-04,2025-04-17,16
TRF00181,SKU00533,DEP-CENTRAL,T25,2024-01-12,2024-01-16,41
TRF00182,SKU00639,DEP-CENTRAL,T07,2025-06-24,2025-07-01,38
TRF00183,SKU00673,DEP-CENTRAL,T12,2025-07-27,2025-08-01,24
TRF00184,SKU00521,T06,T07,2025-11-11,2025-11-28,57
TRF00185,SKU00510,DEP-CENTRAL,T26,2023-05-10,2023-05-13,22
TRF00186,SKU00565,T06,DEP-CENTRAL,2025-11-18,2025-11-30,21
TRF00187,SKU00537,T01,T19,2024-08-09,2024-08-19,8
TRF00188,SKU00723,DEP-CENTRAL,T27,2025-03-02,2025-03-19,38
TRF00189,SKU00572,T06,T11,2023-04-17,2023-05-01,28
TRF00190,SKU00460,DEP-CENTRAL,T12,2023-02-02,2023-02-18,13
TRF00191,SKU00282,T23,T09,2025-11-16,2025-11-29,35
TRF00192,SKU00530,DEP-CENTRAL,T23,2024-12-06,2024-12-16,29
TRF00193,SKU00653,DEP-CENTRAL,T19,2025-11-23,2025-12-11,5
TRF00194,SKU00077,T10,T27,2023-05-20,2023-05-30,3
TRF00195,SKU00792,T26,T11,2025-05-14,2025-05-22,8
TRF00196,SKU00008,DEP-CENTRAL,T12,2025-05-03,2025-05-09,2
TRF00197,SKU00748,T07,DEP-CENTRAL,2024-05-05,2024-05-09,23
TRF00198,SKU00577,DEP-CENTRAL,T11,2025-10-24,2025-11-11,56
TRF00199,SKU00195,T18,T11,2026-07-13,2026-07-29,29
TRF00200,SKU00528,DEP-CENTRAL,T20,2026-07-14,2026-08-02,11
TRF00201,SKU00651,DEP-CENTRAL,T23,2026-06-18,2026-07-03,26
TRF00202,SKU00690,T14,T11,2026-05-07,2026-05-28,3
TRF00203,SKU00287,T03,T15,2025-07-21,2025-07-28,39
TRF00204,SKU00673,DEP-CENTRAL,T24,2024-09-07,2024-09-20,28
TRF00205,SKU00081,DEP-CENTRAL,T04,2025-09-20,2025-10-06,23
TRF00206,SKU00768,DEP-CENTRAL,T18,2025-02-12,2025-02-26,8
TRF00207,SKU00610,DEP-CENTRAL,T28,2025-03-10,2025-03-23,15
TRF00208,SKU00593,DEP-CENTRAL,T12,2024-01-08,2024-01-15,45
TRF00209,SKU00757,DEP-CENTRAL,T02,2024-01-02,2024-01-11,53
TRF00210,SKU00503,T14,DEP-CENTRAL,2026-01-25,2026-02-09,18
TRF00211,SKU00307,T23,T17,2023-02-06,2023-02-26,49
TRF00212,SKU00761,T26,T14,2026-06-11,2026-06-28,56
TRF00213,SKU00045,DEP-CENTRAL,T23,2024-09-07,2024-09-25,25
TRF00214,SKU00611,DEP-CENTRAL,T11,2025-07-17,2025-07-25,5
TRF00215,SKU00433,DEP-CENTRAL,T17,2025-07-12,2025-07-31,50
TRF00216,SKU00331,T19,T21,2026-03-09,2026-03-18,12
TRF00217,SKU00433,T14,DEP-CENTRAL,2026-04-25,2026-05-14,57
TRF00218,SKU00317,T06,T07,2025-09-02,2025-09-21,22
TRF00219,SKU00001,DEP-CENTRAL,T18,2024-02-02,2024-02-15,30
TRF00220,SKU00240,DEP-CENTRAL,T20,2022-10-15,2022-10-31,40
TRF00221,SKU00398,DEP-CENTRAL,T01,2026-06-08,2026-06-12,24
TRF00222,SKU00331,DEP-CENTRAL,T19,2025-12-06,2025-12-27,2
TRF00223,SKU00758,DEP-CENTRAL,T04,2022-10-27,2022-11-04,14
TRF00224,SKU00439,T04,DEP-CENTRAL,2022-12-20,2023-01-02,28
TRF00225,SKU00793,DEP-CENTRAL,T16,2026-02-05,2026-02-20,13
TRF00226,SKU00547,T21,T06,2026-04-23,2026-05-02,6
TRF00227,SKU00437,DEP-CENTRAL,T27,2025-11-27,2025-12-11,42
TRF00228,SKU00447,T09,DEP-CENTRAL,2024-08-08,2024-08-13,38
TRF00229,SKU00660,T10,T23,2022-12-27,2023-01-10,12
TRF00230,SKU00625,DEP-CENTRAL,T02,2026-08-16,2026-09-05,49
TRF00231,SKU00662,T23,T06,2025-08-23,2025-09-12,39
TRF00232,SKU00637,T13,T07,2025-04-09,2025-04-15,43
TRF00233,SKU00662,T07,DEP-CENTRAL,2024-08-06,2024-08-18,43
TRF00234,SKU00260,DEP-CENTRAL,T22,2023-11-26,2023-12-08,45
TRF00235,SKU00701,T23,T01,2026-07-15,2026-07-28,39
TRF00236,SKU00220,T09,T12,2024-02-20,2024-03-08,16
TRF00237,SKU00657,DEP-CENTRAL,T25,2025-12-07,2025-12-15,36
TRF00238,SKU00006,DEP-CENTRAL,T05,2023-09-24,2023-10-09,21
TRF00239,SKU00276,T01,T28,2026-07-13,2026-07-17,21
TRF00240,SKU00447,DEP-CENTRAL,T13,2025-03-15,2025-03-18,11
TRF00241,SKU00026,DEP-CENTRAL,T17,2024-07-26,2024-08-11,5
TRF00242,SKU00109,T17,T13,2026-03-20,2026-04-03,7
TRF00243,SKU00377,T18,DEP-CENTRAL,2024-09-13,2024-09-24,25
TRF00244,SKU00295,DEP-CENTRAL,T23,2024-12-04,2024-12-23,53
TRF00245,SKU00295,DEP-CENTRAL,T22,2026-03-05,2026-03-22,7
TRF00246,SKU00130,DEP-CENTRAL,T27,2025-06-23,2025-06-28,37
TRF00247,SKU00650,DEP-CENTRAL,T19,2024-06-27,2024-07-13,52
TRF00248,SKU00549,DEP-CENTRAL,T13,2024-05-18,2024-06-06,31
TRF00249,SKU00378,T28,DEP-CENTRAL,2024-09-04,2024-09-10,36
TRF00250,SKU00777,DEP-CENTRAL,T18,2022-05-18,2022-05-22,48
TRF00251,SKU00477,DEP-CENTRAL,T14,2025-02-15,2025-02-20,41
TRF00252,SKU00236,DEP-CENTRAL,T18,2025-04-27,2025-05-06,33
TRF00253,SKU00593,DEP-CENTRAL,T15,2025-05-21,2025-06-02,28
TRF00254,SKU00201,DEP-CENTRAL,T10,2023-04-22,2023-05-01,18
TRF00255,SKU00204,DEP-CENTRAL,T24,2024-08-19,2024-08-28,19
TRF00256,SKU00668,DEP-CENTRAL,T10,2023-12-22,2024-01-06,12
TRF00257,SKU00768,DEP-CENTRAL,T27,2024-06-19,2024-06-25,40
TRF00258,SKU00591,T01,DEP-CENTRAL,2026-07-22,2026-08-05,45
TRF00259,SKU00021,DEP-CENTRAL,T23,2022-04-17,2022-05-02,35
TRF00260,SKU00058,DEP-CENTRAL,T05,2025-05-12,2025-05-27,56
TRF00261,SKU00413,DEP-CENTRAL,T22,2026-02-15,2026-02-23,13
TRF00262,SKU00124,T18,T09,2024-12-24,2024-12-27,49
TRF00263,SKU00015,T02,T08,2024-05-07,2024-05-23,3
TRF00264,SKU00629,DEP-CENTRAL,T25,2026-07-12,2026-07-30,12
TRF00265,SKU00416,T24,T09,2024-01-16,2024-01-20,57
TRF00266,SKU00055,T19,T09,2026-04-17,2026-05-07,48
TRF00267,SKU00383,DEP-CENTRAL,T16,2025-03-19,2025-04-06,57
TRF00268,SKU00132,T05,T19,2024-08-18,2024-09-07,12
TRF00269,SKU00524,T19,T16,2024-10-06,2024-10-15,14
TRF00270,SKU00259,DEP-CENTRAL,T23,2024-06-21,2024-06-27,45
TRF00271,SKU00058,T01,DEP-CENTRAL,2024-09-03,2024-09-15,14
TRF00272,SKU00587,T27,T18,2023-06-26,2023-07-12,18
TRF00273,SKU00312,T01,DEP-CENTRAL,2023-02-02,2023-02-06,11
TRF00274,SKU00732,T28,T01,2025-08-12,2025-08-22,19
TRF00275,SKU00794,T14,T27,2024-02-20,2024-02-28,59
TRF00276,SKU00008,DEP-CENTRAL,T16,2026-04-21,2026-05-05,5
TRF00277,SKU00463,T07,T10,2024-11-11,2024-11-26,14
TRF00278,SKU00415,T20,T08,2024-10-25,2024-11-07,41
TRF00279,SKU00651,T21,T11,2025-10-20,2025-10-24,48
TRF00280,SKU00690,DEP-CENTRAL,T08,2026-04-13,2026-04-16,34
TRF00281,SKU00146,T08,DEP-CENTRAL,2023-10-18,2023-11-01,11
TRF00282,SKU00346,DEP-CENTRAL,T12,2025-05-16,2025-06-02,36
TRF00283,SKU00227,T26,T12,2025-09-23,2025-10-08,36
TRF00284,SKU00577,DEP-CENTRAL,T24,2024-05-04,2024-05-07,36
TRF00285,SKU00582,DEP-CENTRAL,T11,2024-12-10,2024-12-13,25
TRF00286,SKU00138,DEP-CENTRAL,T02,2025-10-13,2025-10-27,53
TRF00287,SKU00222,DEP-CENTRAL,T03,2026-03-11,2026-03-21,45
TRF00288,SKU00618,DEP-CENTRAL,T17,2025-01-27,2025-02-02,33
TRF00289,SKU00557,DEP-CENTRAL,T01,2025-09-08,2025-09-23,22
TRF00290,SKU00103,DEP-CENTRAL,T22,2023-03-13,2023-03-29,50
TRF00291,SKU00182,DEP-CENTRAL,T22,2023-03-11,2023-03-25,7
TRF00292,SKU00426,T25,T05,2024-02-12,2024-02-21,16
TRF00293,SKU00196,DEP-CENTRAL,T04,2025-06-06,2025-06-14,44
TRF00294,SKU00683,T17,DEP-CENTRAL,2025-07-09,2025-07-23,11
TRF00295,SKU00703,DEP-CENTRAL,T27,2023-05-23,2023-05-29,17
TRF00296,SKU00330,T13,T05,2026-04-22,2026-05-06,24
TRF00297,SKU00196,DEP-CENTRAL,T02,2024-05-25,2024-06-09,30
TRF00298,SKU00661,DEP-CENTRAL,T20,2024-06-14,2024-07-02,51
TRF00299,SKU00019,T07,T19,2024-01-24,2024-02-03,12
TRF00300,SKU00764,DEP-CENTRAL,T14,2025-01-27,2025-02-02,57
TRF00301,SKU00697,T07,T20,2025-10-04,2025-10-17,53
TRF00302,SKU00296,DEP-CENTRAL,T04,2023-10-08,2023-10-15,27
TRF00303,SKU00752,T26,T25,2024-10-18,2024-11-07,38
TRF00304,SKU00493,T12,T25,2025-07-14,2025-07-19,10
TRF00305,SKU00628,T18,T08,2023-12-21,2024-01-04,18
TRF00306,SKU00678,DEP-CENTRAL,T15,2024-11-07,2024-11-28,27
TRF00307,SKU00460,DEP-CENTRAL,T24,2022-11-09,2022-11-23,36
TRF00308,SKU00565,T07,DEP-CENTRAL,2026-06-12,2026-06-29,13
TRF00309,SKU00607,DEP-CENTRAL,T10,2025-02-10,2025-03-01,25
TRF00310,SKU00730,DEP-CENTRAL,T14,2023-05-25,2023-05-28,50
TRF00311,SKU00601,T15,T08,2026-04-27,2026-05-05,42
TRF00312,SKU00025,DEP-CENTRAL,T13,2025-03-04,2025-03-16,53
TRF00313,SKU00222,DEP-CENTRAL,T20,2023-11-09,2023-11-24,28
TRF00314,SKU00789,DEP-CENTRAL,T22,2023-02-07,2023-02-19,13
TRF00315,SKU00122,T28,DEP-CENTRAL,2025-11-14,2025-11-17,35
TRF00316,SKU00061,DEP-CENTRAL,T17,2025-10-02,2025-10-15,44
TRF00317,SKU00690,T05,T06,2024-09-16,2024-10-01,4
TRF00318,SKU00569,DEP-CENTRAL,T01,2025-12-25,2026-01-01,47
TRF00319,SKU00751,T26,T16,2024-03-06,2024-03-19,8
TRF00320,SKU00447,DEP-CENTRAL,T07,2025-07-25,2025-08-15,17
TRF00321,SKU00013,DEP-CENTRAL,T08,2023-06-03,2023-06-11,56
TRF00322,SKU00644,DEP-CENTRAL,T12,2026-02-18,2026-02-25,49
TRF00323,SKU00646,T18,T07,2025-12-20,2025-12-23,28
TRF00324,SKU00155,T01,T27,2023-03-22,2023-04-05,28
TRF00325,SKU00394,T22,DEP-CENTRAL,2025-02-12,2025-03-05,24
TRF00326,SKU00734,T01,DEP-CENTRAL,2023-02-26,2023-03-05,46
TRF00327,SKU00735,DEP-CENTRAL,T19,2023-12-20,2024-01-08,12
TRF00328,SKU00703,DEP-CENTRAL,T27,2026-06-11,2026-06-26,38
TRF00329,SKU00384,DEP-CENTRAL,T12,2026-05-12,2026-05-26,19
TRF00330,SKU00320,T13,T14,2025-07-17,2025-07-31,20
TRF00331,SKU00664,DEP-CENTRAL,T07,2025-07-03,2025-07-15,55
TRF00332,SKU00548,DEP-CENTRAL,T02,2024-04-23,2024-05-09,9
TRF00333,SKU00793,DEP-CENTRAL,T05,2026-05-26,2026-06-10,40
TRF00334,SKU00785,T04,T27,2025-07-27,2025-08-03,7
TRF00335,SKU00354,T02,T23,2025-12-15,2025-12-24,22
TRF00336,SKU00393,DEP-CENTRAL,T19,2026-07-07,2026-07-11,30
TRF00337,SKU00122,T11,T08,2024-06-24,2024-06-27,24
TRF00338,SKU00051,DEP-CENTRAL,T09,2025-12-02,2025-12-20,44
TRF00339,SKU00475,T19,T10,2024-02-11,2024-02-23,47
TRF00340,SKU00481,T20,T13,2025-01-15,2025-02-05,57
TRF00341,SKU00365,DEP-CENTRAL,T13,2024-06-21,2024-07-12,36
TRF00342,SKU00162,T20,T17,2024-04-03,2024-04-15,2
TRF00343,SKU00577,T04,T24,2024-06-19,2024-06-30,5
TRF00344,SKU00680,DEP-CENTRAL,T03,2023-11-19,2023-11-25,56
TRF00345,SKU00162,T04,T11,2024-12-21,2024-12-31,18
TRF00346,SKU00061,DEP-CENTRAL,T15,2024-09-02,2024-09-21,38
TRF00347,SKU00259,T18,DEP-CENTRAL,2025-07-04,2025-07-08,9
TRF00348,SKU00019,T08,T28,2023-06-23,2023-06-27,17
TRF00349,SKU00204,DEP-CENTRAL,T25,2026-07-04,2026-07-24,39
TRF00350,SKU00347,T07,T13,2026-07-07,2026-07-12,24
TRF00351,SKU00417,T12,T08,2026-08-27,2026-08-30,47
TRF00352,SKU00768,T04,T18,2024-07-26,2024-08-08,59
TRF00353,SKU00518,DEP-CENTRAL,T22,2026-05-14,2026-06-04,26
TRF00354,SKU00513,DEP-CENTRAL,T27,2024-08-21,2024-09-05,43
TRF00355,SKU00520,DEP-CENTRAL,T09,2022-12-04,2022-12-12,3
