id_liquidacion,id_producto,tienda,fecha_inicio,fecha_fin,descuento_pct,motivo
LIQ0037,SKU00668,T11,2024-05-29,2024-06-13,30,Discontinuacion
LIQ0038,SKU00751,T12,2025-12-25,2026-02-23,30,Sobrestock
LIQ0039,SKU00533,T13,2025-09-02,2025-10-17,10,Discontinuacion
LIQ0040,SKU00273,T19,2025-10-15,2025-11-14,30,Fin de temporada
LIQ0041,SKU00244,T01,2023-12-11,2023-12-26,10,Fin de temporada
LIQ0042,SKU00074,T27,2024-05-20,2024-06-19,30,Baja rotacion
LIQ0043,SKU00687,T05,2025-06-17,2025-07-02,50,Baja rotacion
LIQ0044,SKU00727,T02,2025-10-21,2025-11-05,50,Sobrestock
LIQ0045,SKU00525,T14,2025-01-04,2025-02-03,25,Fin de temporada
LIQ0046,SKU00509,T22,2025-02-22,2025-04-23,30,Fin de temporada
LIQ0047,SKU00737,Todas,2023-11-27,2023-12-27,25,Discontinuacion
LIQ0048,SKU00566,T26,2025-09-05,2025-10-20,20,Sobrestock
LIQ0049,SKU00027,T13,2023-10-23,2023-12-22,10,Sobrestock
LIQ0050,SKU00557,T17,2023-07-16,2023-08-15,20,Fin de temporada
LIQ0051,SKU00105,T21,2025-09-19,2025-10-04,15,Discontinuacion
LIQ0052,SKU00554,T10,2025-07-05,2025-08-04,10,Fin de temporada
LIQ0053,SKU00178,T20,2025-10-01,2025-11-30,20,Discontinuacion
LIQ0054,SKU00616,T10,2024-08-16,2024-09-15,15,Baja rotacion
LIQ0055,SKU00275,T28,2025-03-15,2025-04-14,50,Baja rotacion
LIQ0056,SKU00259,T15,2023-08-21,2023-10-20,30,Fin de temporada
LIQ0057,SKU00575,T26,2023-01-09,2023-01-24,20,Fin de temporada
LIQ0058,SKU00424,T14,2022-06-11,2022-06-26,20,Baja rotacion
LIQ0059,SKU00599,T17,2024-08-24,2024-09-08,50,Fin de temporada
LIQ0060,SKU00636,Todas,2024-04-08,2024-05-23,20,Fin de temporada
LIQ0061,SKU00260,T18,2024-08-04,2024-08-19,25,Sobrestock
LIQ0062,SKU00787,T21,2025-05-03,2025-05-18,25,Baja rotacion
LIQ0063,SKU00788,T13,2024-01-07,2024-01-22,10,Baja rotacion
LIQ0064,SKU00335,T14,2025-08-23,2025-10-22,40,Sobrestock
LIQ0065,SKU00777,T03,2024-03-29,2024-05-28,20,Baja rotacion
LIQ0066,SKU00583,T08,2023-03-07,2023-05-06,40,Baja rotacion
LIQ0067,SKU00515,T27,2023-05-28,2023-06-27,15,Discontinuacion
LIQ0068,SKU00283,T16,2025-08-16,2025-10-15,50,Discontinuacion
LIQ0069,SKU00443,T12,2024-07-28,2024-09-26,25,Fin de temporada
LIQ0070,SKU00326,T08,2023-11-15,2023-12-15,50,Fin de temporada
LIQ0071,SKU00456,T02,2025-11-16,2026-01-15,15,Discontinuacion
LIQ0072,SKU00299,T01,2025-12-22,2026-01-21,10,Discontinuacion
LIQ0073,SKU00388,T22,2025-08-31,2025-09-15,30,Baja rotacion
LIQ0074,SKU00298,T04,2025-08-28,2025-10-27,10,Fin de temporada
LIQ0075,SKU00403,T15,2025-02-22,2025-03-09,10,Baja rotacion
LIQ0076,SKU00136,T18,2025-09-07,2025-10-22,25,Fin de temporada
LIQ0077,SKU00150,T11,2023-12-11,2023-12-26,120,Fin de temporada
LIQ0078,SKU00774,T03,2025-10-27,2025-11-11,40,Fin de temporada
LIQ0079,SKU00218,T21,2024-12-24,2025-02-22,15,Fin de temporada
LIQ0080,SKU00715,T09,2025-09-06,2025-10-21,50,Baja rotacion
LIQ0081,SKU00780,T11,2024-08-03,2024-08-18,40,Discontinuacion
LIQ0082,SKU00582,T16,2025-09-27,2025-10-27,50,Baja rotacion
LIQ0083,SKU00307,T04,2022-12-03,2023-02-01,40,Discontinuacion
LIQ0084,SKU00643,T20,2025-02-23,2025-03-25,30,Baja rotacion
LIQ0085,SKU00745,T24,2025-07-11,2025-09-09,15,Sobrestock
LIQ0086,SKU00064,T08,2025-05-23,2025-06-07,10,Sobrestock
LIQ0087,SKU00192,T12,2024-04-12,2024-05-12,30,Baja rotacion
LIQ0088,SKU00203,T16,2023-03-30,2023-04-29,25,Baja rotacion
LIQ0089,SKU00520,T07,2023-11-28,2023-12-28,50,Fin de temporada
LIQ0090,SKU00587,Todas,2022-08-31,2022-09-30,20,Fin de temporada
LIQ0091,SKU00318,Todas,2024-09-16,2024-10-01,15,Discontinuacion
LIQ0092,SKU00096,T08,2025-05-31,2025-06-30,25,Sobrestock
LIQ0093,SKU00345,T03,2023-01-10,2023-02-24,40,Fin de temporada
LIQ0094,SKU00130,T06,2025-06-13,2025-07-28,50,Fin de temporada
LIQ0095,SKU00222,T07,2025-02-04,2025-03-21,10,Fin de temporada
LIQ0096,SKU00144,T25,2024-02-15,2024-03-01,20,Baja rotacion
LIQ0097,SKU00477,T02,2022-04-20,2022-06-04,15,Baja rotacion
LIQ0098,SKU00647,T05,2024-07-28,2024-08-12,20,Fin de temporada
LIQ0099,SKU00061,T05,2024-03-31,2024-05-15,30,Discontinuacion
LIQ0100,SKU00536,T25,2025-05-08,2025-07-07,30,Baja rotacion
LIQ0101,SKU00040,T08,2025-10-13,2025-10-28,25,Baja rotacion
LIQ0102,SKU00180,T04,2025-12-14,2026-01-13,25,Sobrestock
LIQ0103,SKU00430,T09,2024-11-25,2024-12-25,20,Fin de temporada
LIQ0104,SKU00122,T23,2022-11-15,2022-12-15,20,Sobrestock
LIQ0105,SKU00588,T03,2024-10-11,2024-10-26,25,Baja rotacion
LIQ0106,SKU00159,T03,2025-10-01,2025-10-16,50,Baja rotacion
LIQ0107,SKU00067,T28,2025-08-29,2025-10-13,50,Discontinuacion
LIQ0108,SKU00145,T01,2024-06-28,2024-08-27,25,Discontinuacion
LIQ0109,SKU00546,T05,2025-07-21,2025-09-04,50,Fin de temporada
LIQ0110,SKU00248,T24,2024-02-20,2024-04-20,15,Discontinuacion
LIQ0111,SKU00539,T05,2025-02-09,2025-03-26,20,Sobrestock
LIQ0112,SKU00781,T05,2023-08-22,2023-10-06,15,Fin de temporada
LIQ0113,SKU00420,T25,2025-10-24,2025-12-08,20,Baja rotacion
LIQ0114,SKU00353,T23,2025-12-19,2026-01-18,15,Fin de temporada
LIQ0115,SKU00652,T03,2025-06-13,2025-08-12,20,Fin de temporada
LIQ0116,SKU00412,T28,2024-09-06,2024-09-21,10,Fin de temporada
LIQ0117,SKU00169,T19,2023-03-31,2023-04-15,50,Fin de temporada
LIQ0118,SKU00342,Todas,2025-03-15,2025-05-14,15,Baja rotacion
LIQ0119,SKU00279,T23,2025-01-02,2025-03-03,20,Baja rotacion
LIQ0120,SKU00612,T18,2023-09-27,2023-11-26,50,Sobrestock
LIQ0121,SKU00215,T11,2025-02-03,2025-02-18,15,Baja rotacion
LIQ0122,SKU00398,T24,2025-05-27,2025-06-26,40,Baja rotacion
LIQ0123,SKU00552,T28,2025-12-02,2026-01-31,20,Discontinuacion
LIQ0124,SKU00184,T23,2025-11-09,2025-12-09,30,Baja rotacion
LIQ0125,SKU00410,T27,2025-01-31,2025-02-15,20,Sobrestock
LIQ0126,SKU00332,T13,2025-02-16,2025-03-03,10,Baja rotacion
LIQ0127,SKU00193,T02,2025-02-12,2025-04-13,25,Baja rotacion
LIQ0128,SKU00567,T27,2025-11-14,2025-12-29,20,Fin de temporada
LIQ0129,SKU00527,T04,2025-07-25,2025-09-08,10,Fin de temporada
LIQ0130,SKU00486,T14,2025-05-19,2025-06-18,10,Baja rotacion
LIQ0131,SKU00739,T19,2023-04-27,2023-05-27,20,Fin de temporada
LIQ0132,SKU00651,T10,2023-05-08,2023-07-07,20,Fin de temporada
LIQ0133,SKU00603,T09,2025-08-27,2025-10-11,50,Sobrestock
LIQ0134,SKU00362,T27,2024-02-19,2024-04-19,15,Discontinuacion
LIQ0135,SKU00672,T28,2023-03-25,2023-04-24,40,Fin de temporada
LIQ0136,SKU00012,T03,2025-01-07,2025-01-22,40,Discontinuacion
LIQ0137,SKU00607,T14,2025-05-28,2025-06-12,40,Fin de temporada
LIQ0138,SKU00531,T01,2025-10-19,2025-11-03,50,Fin de temporada
LIQ0139,SKU00300,T12,2025-07-07,2025-09-05,20,Fin de temporada
LIQ0140,SKU00611,T13,2025-02-22,2025-04-08,20,Baja rotacion
LIQ0141,SKU00266,T11,2025-10-24,2025-11-23,50,Sobrestock
LIQ0142,SKU00294,T21,2025-01-22,2025-02-06,20,Sobrestock
LIQ0143,SKU00445,T17,2025-05-15,2025-06-14,20,Sobrestock
LIQ0144,SKU00289,T22,2023-04-09,2023-04-24,20,Sobrestock
LIQ0145,SKU00590,T06,2025-01-21,2025-03-07,10,Discontinuacion
LIQ0146,SKU00023,T26,2025-04-22,2025-05-22,30,Sobrestock
LIQ0147,SKU00202,T05,2025-02-07,2025-04-08,25,Fin de temporada
LIQ0148,SKU00272,T08,2024-12-03,2025-01-17,10,Sobrestock
LIQ0149,SKU00108,T16,2025-03-21,2025-04-20,30,Sobrestock
LIQ0150,SKU00545,T17,2025-12-09,2026-01-23,15,Fin de temporada
LIQ0151,SKU00414,T23,2024-11-15,2024-11-30,10,Fin de temporada
LIQ0152,SKU00007,T07,2024-12-15,2024-12-30,30,Baja rotacion
LIQ0153,SKU00241,T09,2025-03-01,2025-03-16,10,Baja rotacion
LIQ0154,SKU00330,Todas,2025-01-07,2025-03-08,15,Fin de temporada
LIQ0155,SKU00373,T28,2025-06-19,2025-08-18,50,Sobrestock
LIQ0156,SKU00317,T06,2023-05-26,2023-06-10,50,Baja rotacion
LIQ0157,SKU00667,T02,2023-11-05,2023-12-05,15,Baja rotacion
LIQ0158,SKU00296,T04,2025-04-04,2025-05-04,15,Sobrestock
LIQ0159,SKU00796,T12,2023-04-09,2023-05-09,25,Fin de temporada
LIQ0160,SKU00560,Todas,2023-10-05,2023-11-19,50,Sobrestock
LIQ0161,SKU00656,T15,2025-06-18,2025-07-03,50,Fin de temporada
LIQ0162,SKU00070,T12,2023-03-28,2023-05-12,15,Sobrestock
LIQ0163,SKU00254,T24,2024-05-14,2024-05-29,30,Baja rotacion
LIQ0164,SKU00003,T09,2025-06-04,2025-07-04,50,Fin de temporada
LIQ0165,SKU00483,T05,2024-12-15,2025-01-14,30,Fin de temporada
LIQ0166,SKU00016,T19,2025-10-22,2025-11-21,15,Baja rotacion
LIQ0167,SKU00129,T28,2025-06-06,2025-07-06,40,Baja rotacion
LIQ0168,SKU00779,T02,2024-01-30,2024-02-14,10,Fin de temporada
LIQ0169,SKU00740,T16,2024-01-30,2024-02-29,50,Baja rotacion
LIQ0170,SKU00454,T28,2025-01-14,2025-02-28,20,Baja rotacion
LIQ0171,SKU00366,T07,2023-12-23,2024-02-06,25,Sobrestock
LIQ0172,SKU00172,Todas,2025-05-19,2025-06-18,25,Baja rotacion
LIQ0173,SKU00034,T27,2024-09-11,2024-11-10,50,Baja rotacion
LIQ0174,SKU00489,T10,2025-04-11,2025-06-10,20,Sobrestock
LIQ0175,SKU00493,T10,2024-08-23,2024-10-22,25,Discontinuacion
LIQ0176,SKU00083,T07,2025-04-16,2025-06-15,10,Discontinuacion
LIQ0177,SKU00170,T25,2025-06-18,2025-08-17,50,Sobrestock
LIQ0178,SKU00626,T28,2024-11-04,2025-01-03,30,Baja rotacion
LIQ0179,SKU00425,T18,2025-04-12,2025-06-11,25,Baja rotacion
LIQ0180,SKU00154,T17,2025-06-25,2025-08-24,20,Discontinuacion
LIQ0181,SKU00741,T06,2023-07-08,2023-08-07,30,Baja rotacion
LIQ0182,SKU00484,T03,2025-08-31,2025-10-15,30,Sobrestock
LIQ0183,SKU00256,T02,2024-10-07,2024-10-22,10,Fin de temporada
LIQ0184,SKU00121,T23,2024-02-21,2024-04-06,10,Fin de temporada
LIQ0185,SKU00532,T28,2022-07-26,2022-09-24,50,Sobrestock
LIQ0186,SKU00594,T16,2023-08-28,2023-10-27,30,Baja rotacion
LIQ0187,SKU00071,T12,2025-04-13,2025-05-13,15,Baja rotacion
LIQ0188,SKU00723,T06,2024-08-08,2024-09-07,15,Discontinuacion
LIQ0189,SKU00089,T19,2025-06-11,2025-06-26,50,Baja rotacion
LIQ0190,SKU00211,T27,2024-02-18,2024-04-03,10,Baja rotacion
LIQ0191,SKU00495,T14,2024-08-08,2024-08-23,25,Baja rotacion
LIQ0192,SKU00569,T28,2025-07-09,2025-09-07,15,Discontinuacion
LIQ0193,SKU00573,T18,2025-09-16,2025-10-01,10,Fin de temporada
LIQ0194,SKU00306,T09,2024-04-01,2024-04-16,25,Discontinuacion
LIQ0195,SKU00585,T02,2025-02-27,2025-04-13,10,Discontinuacion
LIQ0196,SKU00058,T26,2025-04-05,2025-04-20,25,Sobrestock
LIQ0197,SKU00118,T11,2024-10-06,2024-11-05,15,Fin de temporada
LIQ0198,SKU00094,T24,2022-06-11,2022-06-26,50,Discontinuacion
LIQ0199,SKU00233,T26,2025-02-02,2025-03-04,20,Discontinuacion
LIQ0200,SKU00075,T07,2023-02-21,2023-03-23,15,Discontinuacion
LIQ0201,SKU00325,T09,2024-12-19,2025-02-02,40,Baja rotacion
LIQ0202,SKU00504,T02,2024-04-23,2024-05-23,15,Fin de temporada
LIQ0203,SKU00482,T15,2024-07-03,2024-08-17,20,Baja rotacion
LIQ0204,SKU00393,T28,2025-11-05,2025-12-20,15,Sobrestock
LIQ0205,SKU00258,T21,2025-01-04,2025-02-03,15,Fin de temporada
LIQ0206,SKU00642,T05,2024-03-25,2024-04-09,15,Fin de temporada
LIQ0207,SKU00513,T02,2023-04-02,2023-05-17,30,Sobrestock
LIQ0208,SKU00352,T08,2025-03-08,2025-03-23,25,Baja rotacion
LIQ0209,SKU00764,T19,2024-01-19,2024-03-04,30,Sobrestock
LIQ0210,SKU00558,T26,2025-08-03,2025-10-02,50,Fin de temporada
LIQ0211,SKU00641,T27,2023-11-08,2024-01-07,20,Discontinuacion
LIQ0212,SKU00151,T24,2025-09-16,2025-11-15,30,Fin de temporada
LIQ0213,SKU00523,T27,2024-05-28,2024-07-27,50,Sobrestock
LIQ0214,SKU00453,T23,2025-09-15,2025-09-30,20,Fin de temporada
LIQ0215,SKU00181,T22,2024-10-01,2024-11-15,15,Sobrestock
LIQ0216,SKU00676,T09,2025-07-09,2025-07-24,30,Fin de temporada
LIQ0217,SKU00784,T22,2025-07-02,2025-07-17,25,Baja rotacion
LIQ0218,SKU00433,T12,2024-06-18,2024-08-17,10,Baja rotacion
LIQ0219,SKU00738,T28,2023-04-06,2023-04-21,50,Fin de temporada
LIQ0220,SKU00251,T21,2024-01-30,2024-02-29,20,Baja rotacion
LIQ0221,SKU00503,T24,2023-08-04,2023-09-03,10,Discontinuacion
LIQ0222,SKU00240,T26,2023-09-30,2023-10-30,50,Discontinuacion
LIQ0223,SKU00693,T27,2025-03-15,2025-04-14,10,Baja rotacion
LIQ0224,SKU00614,T03,2025-04-30,2025-05-15,10,Fin de temporada
LIQ0225,SKU00758,T19,2023-05-01,2023-05-31,20,Baja rotacion
LIQ0226,SKU00310,T01,2025-06-22,2025-08-21,10,Sobrestock
LIQ0227,SKU00686,T11,2023-04-27,2023-06-11,30,Baja rotacion
LIQ0228,SKU00022,T07,2025-07-22,2025-09-05,30,Fin de temporada
LIQ0229,SKU00190,T27,2023-04-22,2023-05-22,30,Discontinuacion
LIQ0230,SKU00057,Todas,2023-09-06,2023-09-21,50,Baja rotacion
LIQ0231,SKU00347,T06,2024-12-15,2025-01-14,30,Fin de temporada
LIQ0232,SKU00754,T10,2025-04-28,2025-06-27,15,Sobrestock
LIQ0233,SKU00370,T08,2022-07-09,2022-08-08,30,Discontinuacion
LIQ0234,SKU00600,T03,2025-06-14,2025-06-29,20,Discontinuacion
LIQ0235,SKU00350,T23,2022-04-20,2022-06-19,30,Discontinuacion
LIQ0236,SKU00119,T15,2024-11-04,2025-01-03,40,Discontinuacion
LIQ0237,SKU00695,T19,2025-04-21,2025-06-05,50,Fin de temporada
LIQ0238,SKU00432,T22,2025-07-06,2025-07-21,15,Fin de temporada
LIQ0239,SKU00370,T22,2022-07-20,2022-08-04,40,Baja rotacion
LIQ0240,SKU00708,T14,2022-03-17,2022-05-01,50,Discontinuacion
LIQ0241,SKU00098,T04,2024-05-31,2024-07-30,10,Discontinuacion
LIQ0242,SKU00670,T03,2025-06-22,2025-08-06,50,Baja rotacion
LIQ0243,SKU00478,T23,2025-12-20,2026-02-18,50,Baja rotacion
LIQ0244,SKU00341,T07,2025-07-24,2025-09-22,30,Fin de temporada
LIQ0245,SKU00619,T22,2024-05-17,2024-07-16,30,Fin de temporada
LIQ0246,SKU00459,T02,2025-08-23,2025-10-22,25,Baja rotacion
LIQ0247,SKU00110,T04,2023-01-22,2023-03-08,40,Discontinuacion
LIQ0248,SKU00544,T25,2023-09-17,2023-11-16,50,Baja rotacion
LIQ0249,SKU00156,T19,2025-11-05,2025-12-20,40,Baja rotacion
LIQ0250,SKU00128,T19,2025-06-30,2025-07-30,15,Baja rotacion
LIQ0251,SKU00761,T01,2025-03-30,2025-05-14,25,Fin de temporada
LIQ0252,SKU00458,T01,2025-05-23,2025-06-07,15,Baja rotacion
LIQ0253,SKU00208,T01,2023-12-24,2024-01-23,25,Fin de temporada
LIQ0254,SKU00063,T23,2023-03-06,2023-03-21,25,Fin de temporada
LIQ0255,SKU00050,T05,2025-05-20,2025-07-19,25,Sobrestock
LIQ0256,SKU00753,T07,2025-12-30,2026-02-28,25,Sobrestock
LIQ0257,SKU00138,T09,2025-05-25,2025-06-24,20,Fin de temporada
LIQ0258,SKU00312,T22,2025-02-11,2025-02-26,10,Discontinuacion
LIQ0259,SKU00426,T12,2023-12-06,2024-01-05,20,Fin de temporada
LIQ0260,SKU00750,T13,2023-01-19,2023-03-20,25,Baja rotacion
LIQ0261,SKU00021,T10,2023-02-06,2023-03-08,50,Sobrestock
LIQ0262,SKU00337,T14,2023-10-21,2023-11-20,40,Baja rotacion
LIQ0263,SKU00293,T25,2024-11-26,2025-01-10,50,Baja rotacion
LIQ0264,SKU00221,T20,2025-01-08,2025-01-23,10,Baja rotacion
LIQ0265,SKU00615,T11,2025-07-14,2025-07-29,20,Fin de temporada
LIQ0266,SKU00678,T04,2023-07-16,2023-08-15,40,Fin de temporada
LIQ0267,SKU00650,T14,2025-12-08,2026-01-22,10,Discontinuacion
LIQ0268,SKU00269,T15,2025-09-25,2025-10-25,40,Baja rotacion
LIQ0269,SKU00361,T14,2022-04-14,2022-05-29,50,Discontinuacion
LIQ0270,SKU00224,T27,2025-03-09,2025-04-08,30,Fin de temporada
LIQ0271,SKU00543,T13,2025-06-12,2025-07-12,25,Sobrestock
LIQ0272,SKU00737,T23,2022-07-12,2022-08-11,50,Fin de temporada
LIQ0273,SKU00568,T07,2025-03-15,2025-04-14,10,Sobrestock
LIQ0274,SKU00394,T22,2024-11-10,2025-01-09,30,Sobrestock
LIQ0275,SKU00206,T07,2025-11-06,2026-01-05,25,Discontinuacion
LIQ0276,SKU00757,T26,2024-04-09,2024-05-24,10,Fin de temporada
LIQ0277,SKU00713,T11,2025-07-19,2025-09-17,40,Fin de temporada
LIQ0278,SKU00629,T28,2024-12-11,2025-01-10,20,Discontinuacion
LIQ0279,SKU00552,T19,2025-07-09,2025-08-08,50,Sobrestock
LIQ0280,SKU00062,T17,2025-06-27,2025-08-11,50,Baja rotacion
LIQ0281,SKU00182,T07,2023-10-26,2023-12-25,30,Fin de temporada
LIQ0282,SKU00744,T27,2025-07-07,2025-08-06,50,Sobrestock
LIQ0283,SKU00084,T01,2025-03-27,2025-05-11,20,Sobrestock
LIQ0284,SKU00125,T23,2022-12-10,2023-01-09,15,Fin de temporada
LIQ0285,SKU00514,T01,2024-10-25,2024-11-09,15,Sobrestock
LIQ0286,SKU00639,T25,2024-06-20,2024-08-04,15,Sobrestock
LIQ0287,SKU00078,T27,2024-02-11,2024-02-26,30,Fin de temporada
LIQ0288,SKU00185,T07,2025-02-10,2025-04-11,10,Fin de temporada
LIQ0289,SKU00058,T04,2024-11-12,2024-12-27,25,Fin de temporada
LIQ0290,SKU00496,T27,2024-10-01,2024-11-15,40,Fin de temporada
LIQ0291,SKU00518,T12,2025-02-02,2025-03-19,30,Baja rotacion
LIQ0292,SKU00356,T06,2025-04-02,2025-06-01,20,Sobrestock
LIQ0293,SKU00692,T20,2025-12-23,2026-02-21,20,Discontinuacion
LIQ0294,SKU00166,T11,2025-01-19,2025-03-05,25,Baja rotacion
LIQ0295,SKU00746,T25,2025-11-04,2026-01-03,30,Fin de temporada
LIQ0296,SKU00644,T24,2023-07-17,2023-08-31,40,Fin de temporada
LIQ0297,SKU00783,T07,2024-04-22,2024-05-22,30,Baja rotacion
LIQ0298,SKU00116,T27,2025-03-05,2025-05-04,15,Baja rotacion
LIQ0299,SKU00171,T07,2024-10-27,2024-12-11,10,Sobrestock
LIQ0300,SKU00199,T22,2025-01-10,2025-02-09,50,Discontinuacion
LIQ0301,SKU00718,T22,2024-01-19,2024-03-19,40,Fin de temporada
LIQ0302,SKU00219,T12,2024-07-01,2024-08-30,30,Baja rotacion
LIQ0303,SKU00212,T11,2024-07-11,2024-08-25,10,Sobrestock
LIQ0304,SKU00618,T20,2024-02-22,2024-03-08,20,Baja rotacion
LIQ0305,SKU00375,T13,2024-07-23,2024-09-06,25,Discontinuacion
LIQ0306,SKU00308,T27,2025-12-09,2026-01-23,-10,Baja rotacion
LIQ0307,SKU00570,T19,2025-09-10,2025-10-25,15,Discontinuacion
LIQ0308,SKU00055,T21,2025-02-09,2025-03-11,40,Fin de temporada
LIQ0309,SKU00400,T16,2024-12-29,2025-02-12,50,Discontinuacion
LIQ0310,SKU00377,T04,2023-09-25,2023-11-09,10,Sobrestock
LIQ0311,SKU00408,T18,2024-11-21,2024-12-21,25,Baja rotacion
LIQ0312,SKU00421,T08,2022-12-12,2022-12-27,40,Discontinuacion
LIQ0313,SKU00434,T08,2025-11-16,2025-12-31,40,Discontinuacion
LIQ0314,SKU00526,T26,2025-08-12,2025-09-11,20,Sobrestock
LIQ0315,SKU00534,T22,2025-02-15,2025-03-17,40,Baja rotacion
LIQ0316,SKU00383,T24,2022-09-30,2022-11-29,25,Sobrestock
LIQ0317,SKU00794,T13,2023-07-30,2023-09-28,10,Baja rotacion
LIQ0318,SKU00148,T24,2025-06-05,2025-06-20,50,Discontinuacion
LIQ0319,SKU00280,T11,2025-03-20,2025-05-19,10,Discontinuacion
LIQ0320,SKU00255,T13,2025-09-23,2025-10-23,15,Discontinuacion
LIQ0321,SKU00465,T17,2024-06-04,2024-08-03,20,Sobrestock
LIQ0322,SKU00054,T22,2025-02-16,2025-04-02,10,Baja rotacion
LIQ0323,SKU00775,T02,2025-02-16,2025-04-02,50,Fin de temporada
LIQ0324,SKU00632,T11,2022-07-30,2022-09-13,40,Fin de temporada
LIQ0325,SKU00231,T15,2023-11-07,2023-11-22,10,Discontinuacion
LIQ0326,SKU00435,T10,2024-08-25,2024-10-09,10,Discontinuacion
LIQ0327,SKU00147,T21,2024-04-21,2024-05-21,30,Discontinuacion
LIQ0328,SKU00743,T19,2023-11-14,2023-12-14,15,Fin de temporada
LIQ0329,SKU00701,T24,2024-11-20,2025-01-19,30,Discontinuacion
LIQ0330,SKU00680,T13,2022-06-15,2022-08-14,50,Sobrestock
LIQ0331,SKU00087,T05,2025-03-19,2025-05-18,50,Fin de temporada
LIQ0332,SKU00220,T04,2024-03-29,2024-04-28,25,Baja rotacion
LIQ0333,SKU00297,T08,2025-01-12,2025-02-26,25,Fin de temporada
LIQ0334,SKU00637,T08,2023-02-07,2023-04-08,30,Sobrestock
LIQ0335,SKU00045,T09,2025-06-21,2025-07-06,30,Discontinuacion
LIQ0336,SKU00175,T06,2024-02-26,2024-04-26,20,Baja rotacion
LIQ0337,SKU00302,T04,2025-05-09,2025-07-08,30,Fin de temporada
LIQ0338,SKU00574,T14,2025-09-09,2025-10-09,40,Baja rotacion
LIQ0339,SKU00396,T25,2024-11-26,2024-12-11,10,Discontinuacion
LIQ0340,SKU00140,T08,2025-03-20,2025-05-19,30,Sobrestock
LIQ0341,SKU00163,T14,2025-06-08,2025-07-23,15,Discontinuacion
LIQ0342,SKU00464,T10,2025-04-13,2025-06-12,40,Baja rotacion
LIQ0343,SKU00517,T19,2024-11-30,2024-12-30,10,Sobrestock
LIQ0344,SKU00623,T07,2023-10-16,2023-12-15,10,Fin de temporada
LIQ0345,SKU00474,T24,2025-10-03,2025-12-02,30,Baja rotacion
LIQ0346,SKU00281,T13,2023-06-20,2023-08-04,30,Sobrestock
LIQ0347,SKU00572,T14,2023-08-09,2023-10-08,25,Fin de temporada
LIQ0348,SKU00204,T01,2023-09-09,2023-09-24,20,Baja rotacion
LIQ0349,SKU00010,Todas,2023-02-14,2023-03-16,40,Sobrestock
