id_oc,proveedor,id_producto,fecha_pedido,fecha_recepcion,unidades,costo_unitario_ars
OC00122,Proveedor H,SKU00255,2024-04-13,2024-04-25,36,12024.6
OC00123,Proveedor F,SKU00674,2025-09-18,2025-11-17,104,45327.02
OC00124,Proveedor B,SKU00498,2025-08-26,2025-10-08,576,15099.26
OC00125,Proveedor J,SKU00531,2025-08-03,2025-09-27,155,19380.31
OC00126,Proveedor D,SKU00516,2024-11-13,2024-12-13,153,27260.19
OC00127,Proveedor B,SKU00528,2025-11-29,2026-01-17,384,35575.77
OC00128,Proveedor D,SKU00239,2024-03-14,2024-04-08,306,20941.85
OC00129,Proveedor G,SKU00237,2025-06-18,2025-07-20,21,12937.94
OC00130,Proveedor B,SKU00650,2026-04-03,2026-05-23,192,9487.56
OC00131,Proveedor C,SKU00279,2025-10-22,2025-10-29,35,41486.47
OC00132,Proveedor B,SKU00130,2025-05-27,2025-07-11,576,19582.99
OC00133,Proveedor G,SKU00544,2025-04-12,2025-05-09,21,11485.61
OC00134,Proveedor A,SKU00614,2024-11-05,2024-12-05,147,11127.12
OC00135,Proveedor G,SKU00410,2023-02-19,2023-03-19,21,35672.09
OC00136,Proveedor F,SKU00674,2026-06-11,2026-08-06,52,39759.96
OC00137,Proveedor G,SKU00422,2024-08-14,2024-09-08,21,16263.02
OC00138,Proveedor G,SKU00395,2025-04-01,2025-04-29,63,24837.83
OC00139,Proveedor C,SKU00754,2025-03-13,2025-03-27,35,10080.07
OC00140,Proveedor B,SKU00141,2024-01-07,2024-02-21,192,40161.93
OC00141,Proveedor A,SKU00405,2024-09-10,2024-10-12,147,43317.79
OC00142,Proveedor G,SKU00009,2024-10-18,2024-11-18,21,1752.66
OC00143,Proveedor F,SKU00295,2025-01-19,2025-03-18,104,10062.92
OC00144,Proveedor E,SKU00459,2025-10-19,2025-11-24,193,17945.68
OC00145,Proveedor F,SKU00047,2024-08-19,2024-10-19,52,11702.7
OC00146,Proveedor J,SKU00603,2025-07-07,2025-08-31,155,33624.41
OC00147,Proveedor H,SKU00610,2026-03-16,2026-03-27,36,36608.82
OC00148,Proveedor G,SKU00009,2025-10-29,2025-11-29,21,1746.29
OC00149,Proveedor A,SKU00547,2025-12-18,2026-01-17,147,43209.91
OC00150,Proveedor D,SKU00788,2024-11-28,2024-12-25,153,42121.38
OC00151,Proveedor B,SKU00163,2026-02-01,2026-03-20,192,43358.85
OC00152,Proveedor E,SKU00731,2025-05-29,2025-07-06,193,30610.5
OC00153,Proveedor J,SKU00203,2026-06-06,2026-07-28,155,13544.64
OC00154,Proveedor I,SKU00455,2023-12-02,2023-12-30,364,34471.58
OC00155,Proveedor D,SKU00339,2025-09-03,2025-09-26,153,3694.08
OC00156,Proveedor A,SKU00124,2025-04-08,2025-05-15,294,18143.86
OC00157,Proveedor C,SKU00162,2025-12-31,2026-01-07,70,29866.69
OC00158,Proveedor B,SKU00249,2026-03-12,2026-04-25,384,24414.14
OC00159,Proveedor E,SKU00306,2023-09-16,2023-10-21,579,12318.95
OC00160,Proveedor I,SKU00139,2024-11-14,2024-12-18,182,41974.29
OC00161,Proveedor E,SKU00705,2025-03-26,2025-05-04,193,11200.09
OC00162,Proveedor E,SKU00780,2024-12-14,2025-01-24,193,41130.27
OC00163,Proveedor G,SKU00271,2026-04-29,2026-05-27,21,20544.83
OC00164,Proveedor J,SKU00408,2024-07-09,2024-08-27,155,30402.79
OC00165,Proveedor H,SKU00128,2025-06-30,2025-07-14,36,2065.1
OC00166,Proveedor F,SKU00062,2022-12-19,2023-02-13,52,36421.97
OC00167,Proveedor A,SKU00042,2026-05-05,2026-06-07,294,33819.73
OC00168,Proveedor I,SKU00742,2025-05-09,2025-06-14,182,36721.51
OC00169,Proveedor C,SKU00421,2023-10-10,2023-10-17,35,26731.72
OC00170,Proveedor F,SKU00454,2024-11-21,2025-01-15,156,20073.86
OC00171,Proveedor E,SKU00331,2024-11-19,2024-12-25,579,1337.38
OC00172,Proveedor A,SKU00681,2026-07-03,2026-08-03,147,36722.26
OC00173,Proveedor I,SKU00767,2024-08-21,2024-09-22,182,19678.86
OC00174,Proveedor I,SKU00072,2025-08-29,2025-10-01,364,23289.17
OC00175,Proveedor G,SKU00395,2024-09-26,2024-10-21,21,27587.81
OC00176,Proveedor B,SKU00378,2024-11-15,2024-12-31,192,4235.74
OC00177,Proveedor A,SKU00718,2023-12-02,2024-01-03,147,39581.39
OC00178,Proveedor C,SKU00162,2025-07-19,2025-07-26,70,28665.5
OC00179,Proveedor G,SKU00762,2025-09-23,2025-10-18,21,31384.14
OC00180,Proveedor H,SKU00292,2025-04-10,2025-04-19,108,45423.17
OC00181,Proveedor H,SKU00512,2024-04-11,2024-04-24,36,30284.9
OC00182,Proveedor G,SKU00343,2025-02-08,2025-03-10,42,5970.27
OC00183,Proveedor I,SKU00632,2026-02-01,2026-03-06,182,38203.22
OC00184,Proveedor C,SKU00002,2026-03-01,2026-03-16,35,26563.29
OC00185,Proveedor H,SKU00255,2024-03-09,2024-03-21,36,12716.36
OC00186,Proveedor I,SKU00620,2025-10-30,2025-12-03,182,23242.79
OC00187,Proveedor G,SKU00009,2025-07-20,2025-08-14,21,1812.7
OC00188,Proveedor B,SKU00114,2023-06-21,2023-08-06,192,19937.73
OC00189,Proveedor H,SKU00145,2026-07-10,2026-07-20,72,2095.9
OC00190,Proveedor C,SKU00109,2025-08-20,2025-08-27,105,23645.99
OC00191,Proveedor A,SKU00406,2025-02-25,2025-04-01,147,26727.07
OC00192,Proveedor I,SKU00084,2025-07-29,2025-08-31,182,34647.16
OC00193,Proveedor J,SKU00111,2023-07-28,2023-09-18,155,40694.81
OC00194,Proveedor H,SKU00190,2022-11-09,2022-11-20,36,22179.07
OC00195,Proveedor H,SKU00746,2025-02-17,2025-03-02,36,13578.22
OC00196,Proveedor A,SKU00698,2025-07-23,2025-08-26,147,19029.95
OC00197,Proveedor B,SKU00382,2024-12-07,2025-01-19,192,41273.66
OC00198,Proveedor A,SKU00496,2024-11-12,2024-12-18,147,39034.21
OC00199,Proveedor D,SKU00651,2025-02-10,2025-03-04,153,24611.09
OC00200,Proveedor A,SKU00272,2023-11-18,2023-12-17,147,10936.42
OC00201,Proveedor F,SKU00435,2025-07-09,2025-09-06,52,2909.2
OC00202,Proveedor A,SKU00361,2023-07-20,2023-08-25,441,26208.46
OC00203,Proveedor B,SKU00100,2024-09-06,2024-10-21,384,2526.69
OC00204,Proveedor D,SKU00600,2025-01-02,2025-01-29,153,22821.53
OC00205,Proveedor J,SKU00203,2024-06-07,2024-07-27,155,14035.73
OC00206,Proveedor A,SKU00654,2024-08-04,2024-09-07,294,7352.66
OC00207,Proveedor C,SKU00685,2025-09-04,2025-09-12,35,36133.12
OC00208,Proveedor J,SKU00777,2023-09-22,2023-11-12,155,26237.29
OC00209,Proveedor B,SKU00184,2025-05-28,2025-07-14,192,26888.9
OC00210,Proveedor B,SKU00646,2026-07-04,2026-08-19,192,18787.42
OC00211,Proveedor G,SKU00671,2025-06-16,2025-07-19,42,18121.1
OC00212,Proveedor D,SKU00241,2025-05-11,2025-06-05,153,29265.82
OC00213,Proveedor G,SKU00671,2025-08-05,2025-08-30,21,19336.88
OC00214,Proveedor D,SKU00258,2026-06-21,2026-07-14,153,15952.65
OC00215,Proveedor A,SKU00594,2023-09-08,2023-10-13,147,9176.28
OC00216,Proveedor G,SKU00784,2025-09-23,2025-10-23,21,20995.5
OC00217,Proveedor B,SKU00739,2025-05-13,2025-07-01,192,15756.91
OC00218,Proveedor C,SKU00562,2024-10-02,2024-10-16,70,13904.8
OC00219,Proveedor G,SKU00019,2025-06-13,2025-07-12,42,46471.99
OC00220,Proveedor D,SKU00516,2024-08-06,2024-09-04,153,25479.65
OC00221,Proveedor G,SKU00457,2024-10-30,2024-11-28,21,38358.06
OC00222,Proveedor F,SKU00510,2024-03-12,2024-05-08,52,17499.29
OC00223,Proveedor G,SKU00043,2026-06-21,2026-07-19,21,15890.64
OC00224,Proveedor F,SKU00091,2025-09-15,2025-11-08,52,6015.43
OC00225,Proveedor E,SKU00283,2025-07-24,2025-09-02,193,22556.63
OC00226,Proveedor F,SKU00686,2025-10-15,2025-12-13,52,10134.57
OC00227,Proveedor A,SKU00033,2024-10-17,2024-11-16,147,44072.08
OC00228,Proveedor D,SKU00209,2026-03-19,2026-04-10,153,10934.25
OC00229,Proveedor H,SKU00746,2025-04-13,2025-04-28,36,13661.8
OC00230,Proveedor A,SKU00327,2026-02-10,2026-03-14,294,16451.59
OC00231,Proveedor B,SKU00031,2023-05-27,2023-07-10,192,42324.99
OC00232,Proveedor G,SKU00765,2026-05-30,2026-07-02,21,11987.08
OC00233,Proveedor B,SKU00189,2026-03-08,2026-04-25,192,11751.66
OC00234,Proveedor E,SKU00332,2025-02-06,2025-03-12,579,22180.25
OC00235,Proveedor J,SKU00531,2026-03-09,2026-05-03,465,18217.91
OC00236,Proveedor J,SKU00276,2026-03-11,2026-05-05,155,23585.1
OC00237,Proveedor F,SKU00358,2024-11-22,2025-01-22,52,25779.65
OC00238,Proveedor D,SKU00465,2026-05-25,2026-06-22,153,13328.55
OC00239,Proveedor E,SKU00015,2025-04-07,2025-05-11,386,4022.64
OC00240,Proveedor I,SKU00157,2023-06-01,2023-07-03,364,2237.25
OC00241,Proveedor F,SKU00581,2025-05-29,2025-07-29,52,21935.06
OC00242,Proveedor C,SKU00321,2022-12-18,2022-12-31,35,26897.35
OC00243,Proveedor I,SKU00303,2023-05-01,2023-06-05,182,43252.09
OC00244,Proveedor F,SKU00491,2025-03-03,2025-04-29,156,39929.49
OC00245,Proveedor B,SKU00783,2023-08-28,2023-10-17,192,48197.66
OC00246,Proveedor D,SKU00106,2024-06-28,2024-07-26,306,6958.57
OC00247,Proveedor A,SKU00137,2025-05-27,2025-06-28,147,22240.48
OC00248,Proveedor I,SKU00134,2025-05-05,2025-06-03,182,18159.87
OC00249,Proveedor F,SKU00329,2025-02-22,2025-04-22,52,42033.9
OC00250,Proveedor E,SKU00213,2024-06-12,2024-07-23,579,26299.97
OC00251,Proveedor H,SKU00413,2026-04-10,2026-04-23,36,48554.51
OC00252,Proveedor I,SKU00293,2024-06-10,2024-07-09,182,41086.89
OC00253,Proveedor D,SKU00320,2023-08-02,2023-08-26,306,12204.42
OC00254,Proveedor B,SKU00262,2022-10-23,2022-12-11,192,8891.64
OC00255,Proveedor G,SKU00461,2025-12-29,2026-01-26,21,33759.41
OC00256,Proveedor A,SKU00566,2025-07-21,2025-08-26,147,24237.66
OC00257,Proveedor F,SKU00435,2024-08-07,2024-10-07,156,3059.29
OC00258,Proveedor G,SKU00205,2023-08-08,2023-09-10,21,37675.45
OC00259,Proveedor E,SKU00075,2023-08-02,2023-09-13,193,9369.48
OC00260,Proveedor I,SKU00727,2024-04-14,2024-05-13,182,15983.6
OC00261,Proveedor C,SKU00365,2023-07-21,2023-08-01,70,16204.42
OC00262,Proveedor I,SKU00136,2024-10-02,2024-11-03,182,36356.17
OC00263,Proveedor F,SKU00126,2024-10-13,2024-12-06,52,18100.75
OC00264,Proveedor H,SKU00001,2025-11-01,2025-11-09,72,8390.22
OC00265,Proveedor I,SKU00044,2023-06-24,2023-07-22,182,45066.47
OC00266,Proveedor H,SKU00789,2023-10-07,2023-10-18,36,13339.95
OC00267,Proveedor I,SKU00264,2025-06-03,2025-07-09,182,31036.89
OC00268,Proveedor G,SKU00108,2025-04-11,2025-05-07,21,43167.33
OC00269,Proveedor B,SKU00034,2023-11-03,2023-12-23,192,35370.93
OC00270,Proveedor G,SKU00585,2025-03-17,2025-04-19,21,1742.07
OC00271,Proveedor B,SKU00432,2025-06-24,2025-08-13,192,19874.46
OC00272,Proveedor B,SKU00100,2023-12-24,2024-02-06,384,2326.1
OC00273,Proveedor G,SKU00544,2023-11-05,2023-11-30,42,11662.62
OC00274,Proveedor G,SKU00426,2023-09-19,2023-10-18,21,38204.75
OC00275,Proveedor E,SKU00534,2024-03-29,2024-05-10,193,2841.23
OC00276,Proveedor A,SKU00444,2022-08-19,2022-09-18,147,24943.05
OC00277,Proveedor C,SKU00247,2025-06-24,2025-07-08,35,44191.96
OC00278,Proveedor A,SKU00406,2026-05-22,2026-06-22,147,26252.6
OC00279,Proveedor D,SKU00241,2024-10-21,2024-11-14,153,29290.0
OC00280,Proveedor B,SKU00189,2023-06-29,2023-08-18,192,11521.58
OC00281,Proveedor I,SKU00284,2024-06-22,2024-07-24,182,36007.94
OC00282,Proveedor E,SKU00462,2025-06-08,2025-07-20,386,12260.64
OC00283,Proveedor D,SKU00316,2025-02-27,2025-03-27,153,16372.5
OC00284,Proveedor B,SKU00249,2026-01-02,2026-02-20,192,24265.53
OC00285,Proveedor G,SKU00023,2025-01-20,2025-02-14,21,4119.14
OC00286,Proveedor C,SKU00394,2023-06-05,2023-06-15,105,42777.51
OC00287,Proveedor F,SKU00639,2026-05-22,2026-07-22,52,24406.59
OC00288,Proveedor F,SKU00581,2024-05-02,2024-06-26,104,26091.36
OC00289,Proveedor A,SKU00361,2025-08-26,2025-09-26,147,30853.7
OC00290,Proveedor I,SKU00683,2026-07-10,2026-08-13,182,3845.29
OC00291,Proveedor F,SKU00389,2025-05-05,2025-06-27,104,12552.14
OC00292,Proveedor F,SKU00062,2024-02-07,2024-04-02,52,38839.2
OC00293,Proveedor E,SKU00217,2024-05-09,2024-06-17,193,17580.41
OC00294,Proveedor H,SKU00575,2023-01-08,2023-01-18,36,5450.57
OC00295,Proveedor C,SKU00210,2025-02-24,2025-03-07,35,30444.49
OC00296,Proveedor A,SKU00615,2025-08-09,2025-09-07,147,13497.27
OC00297,Proveedor C,SKU00193,2023-10-25,2023-11-09,35,10663.02
OC00298,Proveedor J,SKU00751,2025-10-01,2025-11-20,155,41182.67
OC00299,Proveedor I,SKU00683,2025-11-17,2025-12-16,546,4006.79
OC00300,Proveedor A,SKU00541,2023-01-24,2023-02-22,147,4499.81
OC00301,Proveedor G,SKU00574,2026-04-30,2026-05-25,21,3735.53
OC00302,Proveedor G,SKU00064,2025-08-30,2025-09-30,21,22846.57
OC00303,Proveedor C,SKU00193,2025-09-20,2025-09-28,35,9334.6
OC00304,Proveedor F,SKU00590,2024-06-01,2024-08-01,52,43952.21
OC00305,Proveedor J,SKU00183,2026-04-07,2026-06-03,155,11305.5
OC00306,Proveedor C,SKU00701,2024-02-01,2024-02-11,35,43275.77
OC00307,Proveedor F,SKU00050,2025-10-14,2025-12-14,52,35077.5
OC00308,Proveedor C,SKU00743,2025-11-03,2025-11-15,70,26785.31
OC00309,Proveedor H,SKU00567,2024-09-22,2024-09-30,36,10263.1
OC00310,Proveedor B,SKU00432,2026-05-21,2026-07-06,384,21927.75
OC00311,Proveedor C,SKU00120,2023-03-20,2023-04-03,35,35402.12
OC00312,Proveedor F,SKU00557,2024-07-07,2024-09-02,52,32530.18
OC00313,Proveedor A,SKU00013,2024-07-20,2024-08-21,441,4983.27
OC00314,Proveedor F,SKU00393,2026-01-10,2026-03-04,52,32574.27
OC00315,Proveedor E,SKU00780,2026-05-15,2026-06-20,193,36598.74
OC00316,Proveedor C,SKU00769,2024-02-09,2024-02-21,35,41340.96
OC00317,Proveedor J,SKU00408,2023-08-22,2023-10-16,155,33380.99
OC00318,Proveedor A,SKU00621,2024-03-26,2024-04-30,147,8852.53
OC00319,Proveedor E,SKU00196,2025-03-14,2025-04-24,193,40887.78
OC00320,Proveedor B,SKU00038,2026-07-21,2026-09-06,384,27981.86
OC00321,Proveedor H,SKU00161,2024-02-08,2024-02-19,36,25464.85
OC00322,Proveedor F,SKU00478,2024-01-15,2024-03-11,52,52797.28
OC00323,Proveedor C,SKU00257,2024-11-09,2024-11-18,35,24582.59
OC00324,Proveedor A,SKU00406,2025-09-07,2025-10-06,294,25867.05
OC00325,Proveedor A,SKU00020,2023-03-28,2023-04-26,147,14186.89
OC00326,Proveedor H,SKU00766,2025-08-06,2025-08-18,36,34582.6
OC00327,Proveedor G,SKU00180,2025-11-11,2025-12-07,21,13916.56
OC00328,Proveedor A,SKU00681,2026-06-23,2026-07-24,294,36015.64
OC00329,Proveedor B,SKU00404,2023-02-24,2023-04-08,576,19139.07
OC00330,Proveedor H,SKU00248,2023-04-29,2023-05-12,36,9606.66
OC00331,Proveedor J,SKU00276,2024-09-30,2024-11-24,155,24234.81
OC00332,Proveedor H,SKU00529,2025-12-27,2026-01-08,36,13038.28
OC00333,Proveedor A,SKU00105,2025-05-12,2025-06-18,294,40890.96
OC00334,Proveedor G,SKU00771,2024-11-17,2024-12-17,21,37492.14
OC00335,Proveedor J,SKU00111,2023-09-09,2023-10-31,155,41090.35
OC00336,Proveedor B,SKU00720,2024-11-13,2025-01-03,192,45717.11
OC00337,Proveedor A,SKU00681,2025-01-04,2025-02-10,147,37907.14
OC00338,Proveedor E,SKU00068,2023-12-09,2024-01-15,193,43451.06
OC00339,Proveedor I,SKU00187,2025-04-03,2025-05-05,364,5631.23
OC00340,Proveedor F,SKU00211,2025-02-07,2025-04-05,52,25735.39
OC00341,Proveedor G,SKU00347,2026-04-10,2026-05-13,63,24585.57
OC00342,Proveedor G,SKU00244,2023-04-30,2023-05-31,21,6078.66
OC00343,Proveedor D,SKU00583,2024-05-24,2024-06-22,306,26260.23
OC00344,Proveedor B,SKU00416,2024-08-23,2024-10-07,384,7928.12
OC00345,Proveedor D,SKU00142,2024-09-17,2024-10-13,153,14753.67
OC00346,Proveedor F,SKU00536,2025-12-26,2026-02-23,52,6624.28
OC00347,Proveedor A,SKU00796,2025-04-07,2025-05-11,147,33804.85
OC00348,Proveedor A,SKU00781,2023-04-20,2023-05-25,147,34291.65
OC00349,Proveedor E,SKU00468,2025-05-20,2025-06-28,193,15904.06
OC00350,Proveedor D,SKU00788,2024-01-06,2024-02-01,153,44155.85
OC00351,Proveedor E,SKU00591,2025-03-08,2025-04-13,193,33268.85
OC00352,Proveedor A,SKU00147,2025-01-19,2025-02-25,147,5960.94
OC00353,Proveedor B,SKU00229,2025-08-09,2025-09-21,576,30403.95
OC00354,Proveedor E,SKU00772,2025-11-10,2025-12-19,579,41679.61
OC00355,Proveedor D,SKU00508,2026-02-02,2026-03-03,153,41579.98
OC00356,Proveedor F,SKU00467,2023-05-19,2023-07-11,52,11928.49
